STATN	STNCODE	MONTH	DEPH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	DOXY:mean	DOXY:std	DOXY:number_of_values	O2SAT:mean	O2SAT:std	O2SAT:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	NTRZ:mean	NTRZ:std	NTRZ:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CPHL:mean	CPHL:std	CPHL:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values	ALKY:mean	ALKY:std	ALKY:number_of_values	PH:mean	PH:std	PH:number_of_values	HUMUS:mean	HUMUS:std	HUMUS:number_of_values
BY31 LANDSORTSDJ	BPNX37	1	0.0	3.272	1.215	30	6.796	0.273	32	8.651	0.375	26	96.925	1.731	26	nan	nan	0	0.64	0.145	30	4.03	0.82	30	13.82	2.819	30	0.104	0.055	28	3.789	0.811	28	3.621	0.561	24	0.197	0.21	29	0.879	0.204	30	20.912	2.135	29	0.427	0.285	27	10.592	2.399	13	1.588	0.052	12	8.064	0.067	14	7.0	2.51	14
BY31 LANDSORTSDJ	BPNX37	1	5.0	3.29	1.206	30	6.793	0.276	30	8.573	0.343	23	96.283	1.237	22	nan	nan	0	0.641	0.144	31	4.046	0.848	31	13.942	2.787	31	0.106	0.072	29	3.837	0.867	29	3.648	0.63	24	0.169	0.105	30	0.854	0.196	31	20.625	1.434	31	0.423	0.243	27	10.592	2.399	13	1.59	0.054	12	8.057	0.065	14	7.0	2.512	14
BY31 LANDSORTSDJ	BPNX37	1	10.0	3.306	1.202	30	6.806	0.271	32	8.577	0.357	22	96.326	1.43	21	nan	nan	0	0.641	0.147	31	4.064	0.855	31	13.807	2.787	30	0.098	0.051	29	3.849	0.9	29	3.651	0.635	24	0.176	0.124	30	0.85	0.204	31	20.7	1.685	31	0.399	0.206	27	10.592	2.399	13	1.582	0.055	11	8.056	0.06	14	7.014	2.515	14
BY31 LANDSORTSDJ	BPNX37	1	15.0	3.343	1.197	30	6.828	0.263	31	8.538	0.342	23	96.135	1.687	22	nan	nan	0	0.641	0.142	31	4.045	0.911	31	13.816	2.775	31	0.103	0.058	29	3.823	0.915	29	3.612	0.644	24	0.184	0.157	30	0.849	0.199	31	20.567	1.507	31	0.364	0.201	27	10.592	2.399	13	1.592	0.045	12	8.054	0.061	14	7.014	2.509	14
BY31 LANDSORTSDJ	BPNX37	1	20.0	3.432	1.14	30	6.85	0.244	32	8.583	0.318	30	96.509	1.328	28	nan	nan	0	0.639	0.151	31	3.997	0.896	30	13.706	2.806	31	0.106	0.055	29	3.761	0.905	28	3.592	0.633	24	0.183	0.137	30	0.848	0.202	31	20.406	1.532	31	0.361	0.212	27	10.592	2.399	13	1.602	0.051	11	8.055	0.057	14	7.007	2.504	14
BY31 LANDSORTSDJ	BPNX37	1	30.0	3.647	0.914	30	6.906	0.232	32	8.411	0.372	23	95.332	3.394	22	nan	nan	0	0.644	0.163	31	3.968	0.927	31	13.597	3.029	31	0.106	0.049	29	3.738	0.977	29	3.51	0.608	24	0.183	0.111	27	0.856	0.211	30	20.605	2.068	31	0.377	0.186	19	10.592	2.399	13	1.609	0.041	12	8.055	0.057	14	6.986	2.487	14
BY31 LANDSORTSDJ	BPNX37	1	40.0	3.789	0.858	30	6.944	0.194	32	8.344	0.385	30	94.645	3.428	28	nan	nan	0	0.645	0.17	31	3.924	0.98	31	13.593	3.182	30	0.108	0.053	29	3.691	1.021	29	3.441	0.613	24	0.183	0.125	30	0.844	0.22	31	20.369	1.558	30	0.329	0.156	17	10.592	2.399	13	1.612	0.039	12	8.046	0.059	14	6.921	2.468	14
BY31 LANDSORTSDJ	BPNX37	1	50.0	4.069	0.666	30	7.098	0.219	32	7.708	0.849	23	88.414	9.662	22	nan	nan	0	0.745	0.263	31	4.131	0.941	31	14.655	4.011	31	0.096	0.048	29	3.928	0.991	29	3.723	0.679	24	0.179	0.122	30	0.948	0.289	31	20.543	1.39	31	0.294	0.147	17	10.592	2.399	13	1.624	0.035	12	7.994	0.11	14	6.886	2.447	14
BY31 LANDSORTSDJ	BPNX37	1	60.0	4.449	0.689	31	7.584	0.551	32	6.11	1.932	30	69.894	21.781	29	nan	nan	0	1.21	0.581	31	4.799	1.133	31	20.832	8.325	31	0.071	0.043	29	4.501	1.156	26	4.443	1.057	24	0.207	0.189	29	1.427	0.591	31	21.2	1.782	31	0.443	0.127	6	10.592	2.399	13	1.667	0.048	12	7.708	0.263	15	7.007	2.53	14
BY31 LANDSORTSDJ	BPNX37	1	70.0	4.599	0.575	31	8.253	0.795	31	3.876	2.407	23	45.22	27.527	23	nan	nan	0	1.766	0.763	31	5.575	1.7	31	28.432	11.007	31	0.056	0.033	29	5.02	2.003	28	4.885	2.027	24	0.417	0.562	30	1.999	0.796	30	21.49	2.166	30	nan	nan	0	10.592	2.399	13	1.697	0.059	12	7.489	0.272	15	7.321	2.641	14
