STATN	STNCODE	MONTH	DEPH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	DOXY:mean	DOXY:std	DOXY:number_of_values	O2SAT:mean	O2SAT:std	O2SAT:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	NTRZ:mean	NTRZ:std	NTRZ:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CPHL:mean	CPHL:std	CPHL:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values	ALKY:mean	ALKY:std	ALKY:number_of_values	PH:mean	PH:std	PH:number_of_values	HUMUS:mean	HUMUS:std	HUMUS:number_of_values
FLADEN	KANX25	1	0.0	3.298	1.635	36	25.33	3.38	36	7.816	0.531	34	98.932	1.652	34	nan	nan	0	0.579	0.169	36	6.452	2.621	36	8.789	3.444	36	0.318	0.321	36	5.656	2.287	36	5.981	2.569	33	0.515	0.349	35	0.899	0.146	34	20.868	2.59	35	2.463	3.262	32	7.313	1.853	8	2.088	0.082	12	8.175	0.066	13	nan	nan	1
FLADEN	KANX25	1	5.0	3.462	1.647	39	25.85	3.439	39	7.765	0.534	35	98.799	1.846	35	nan	nan	0	0.587	0.158	39	6.648	2.52	39	8.532	3.325	38	0.342	0.328	39	5.838	2.182	39	6.122	2.534	33	0.498	0.37	38	0.892	0.176	37	19.835	2.611	36	2.278	3.21	35	7.313	1.853	8	2.096	0.087	12	8.185	0.077	13	nan	nan	1
FLADEN	KANX25	1	10.0	3.966	1.615	39	27.107	3.305	39	7.47	0.509	38	97.377	2.221	38	nan	nan	0	0.601	0.137	39	6.979	2.353	39	8.332	2.976	38	0.353	0.379	39	6.221	1.998	39	6.53	2.354	33	0.44	0.319	38	0.891	0.137	37	19.511	3.0	36	1.965	2.82	35	7.313	1.853	8	2.148	0.07	12	8.165	0.07	13	nan	nan	1
FLADEN	KANX25	1	15.0	5.091	1.088	39	29.631	2.6	39	6.965	0.561	38	95.156	4.289	38	nan	nan	0	0.664	0.105	38	7.812	2.07	39	8.187	2.26	38	0.361	0.433	39	7.097	1.67	39	7.507	2.03	33	0.397	0.324	38	0.861	0.152	36	18.704	3.69	36	0.683	0.565	35	7.313	1.853	8	2.202	0.071	11	8.148	0.075	12	nan	nan	1
FLADEN	KANX25	1	20.0	5.951	1.331	39	31.392	1.839	39	6.698	0.485	37	94.25	3.701	37	nan	nan	0	0.669	0.093	39	8.239	2.198	39	7.734	1.876	38	0.379	0.478	39	7.592	1.767	38	7.981	2.109	33	0.341	0.344	37	0.835	0.122	37	18.132	3.527	36	0.319	0.219	32	7.313	1.853	8	2.248	0.05	11	8.148	0.077	12	nan	nan	1
FLADEN	KANX25	1	30.0	6.407	1.116	39	33.074	0.964	39	6.519	0.404	37	93.823	3.699	37	nan	nan	0	0.686	0.105	38	8.604	2.247	39	7.2	1.723	38	0.5	0.563	39	7.759	1.846	37	8.322	2.132	33	0.332	0.426	38	0.823	0.138	35	17.616	3.863	36	0.278	0.193	18	7.313	1.853	8	2.287	0.024	11	8.158	0.081	12	nan	nan	1
FLADEN	KANX25	1	40.0	6.661	1.042	39	33.515	0.822	39	6.411	0.384	37	93.078	3.744	37	nan	nan	0	0.712	0.119	39	8.646	2.22	39	7.137	1.622	38	0.479	0.571	39	7.879	1.895	38	8.366	2.157	33	0.292	0.394	38	0.847	0.134	34	17.041	3.613	35	0.261	0.164	18	7.313	1.853	8	2.296	0.018	11	8.155	0.077	12	nan	nan	1
FLADEN	KANX25	1	50.0	6.775	1.019	39	33.797	0.673	39	6.339	0.413	37	92.337	4.182	37	nan	nan	0	0.722	0.108	39	8.765	2.118	39	7.229	1.599	38	0.543	0.847	39	7.909	1.743	38	8.443	1.94	33	0.302	0.448	38	0.85	0.151	34	17.019	3.289	36	0.325	0.083	4	7.313	1.853	8	2.298	0.017	10	8.153	0.077	12	nan	nan	1
FLADEN	KANX25	1	60.0	6.838	1.078	39	33.943	0.6	39	6.352	0.414	35	92.692	4.225	35	nan	nan	0	0.738	0.121	37	8.753	2.093	37	7.383	1.597	36	0.544	0.879	37	7.969	1.765	37	8.457	1.942	31	0.297	0.405	35	0.886	0.14	33	16.773	2.839	34	nan	nan	0	7.313	1.853	8	2.3	0.015	10	8.155	0.084	11	nan	nan	1
FLADEN	KANX25	1	70.0	6.824	1.12	35	34.061	0.56	35	6.252	0.463	34	91.26	5.078	34	nan	nan	0	0.774	0.118	35	8.793	1.935	35	7.612	1.706	34	0.534	0.774	35	8.056	1.76	35	8.59	1.861	29	0.265	0.412	33	0.908	0.16	31	16.848	2.53	32	nan	nan	0	7.313	1.853	8	2.308	0.02	11	8.152	0.079	12	nan	nan	1
