area_tag	LONGI_DD	LATIT_DD	pos_string
12n	18.76333	59.345	18.76333_59.345
Bothnian Bay	22.75333	65.32667	22.75333_65.32667
24	18.34317	59.36617	18.34317_59.36617
12n	18.73667	59.58667	18.73667_59.58667
12n	16.8415	58.59633	16.8415_58.59633
12n	16.9505	58.48867	16.9505_58.48867
13	16.56367	58.44867	16.56367_58.44867
12s	16.73017	58.38933	16.73017_58.38933
12s	16.95017	58.36533	16.95017_58.36533
12s	16.82183	58.32	16.82183_58.32
13	16.62367	58.19317	16.62367_58.19317
13	16.68583	58.154	16.68583_58.154
12s	16.8555	58.20167	16.8555_58.20167
12s	16.8075	58.24967	16.8075_58.24967
12s	16.96317	58.17983	16.96317_58.17983
12s	16.82183	58.12133	16.82183_58.12133
12s	16.67167	57.99967	16.67167_57.99967
25	11.8695	57.68633	11.8695_57.68633
25	11.87083	57.68833	11.87083_57.68833
25	11.86867	57.68417	11.86867_57.68417
25	11.8175	57.6815	11.8175_57.6815
25	11.83817	57.675	11.83817_57.675
25	11.786	57.681	11.786_57.681
25	11.78317	57.66867	11.78317_57.66867
1s	11.70367	57.6715	11.70367_57.6715
1s	11.70867	57.68283	11.70867_57.68283
1s	11.702	57.65433	11.702_57.65433
1s	11.67617	57.6875	11.67617_57.6875
4	11.69433	57.63117	11.69433_57.63117
1s	11.67367	57.65567	11.67367_57.65567
3	11.225	58.25833	11.225_58.25833
25	11.78517	57.67467	11.78517_57.67467
13	16.30783	58.62833	16.30783_58.62833
13	16.38633	58.64067	16.38633_58.64067
2	11.43333	58.25833	11.43333_58.25833
Kattegat	12.53333	56.49167	12.53333_56.49167
20	19.8	63.50833	19.8_63.50833
Bothnian Bay	22.06667	64.70833	22.06667_64.70833
24	18.1115	59.358	18.1115_59.358
Western Gotland Basin	18.23333	58.58333	18.23333_58.58333
7	14.51667	55.98333	14.51667_55.98333
Bornholm Basin	14.53333	55.9	14.53333_55.9
Bornholm Basin	14.26667	55.83333	14.26667_55.83333
7	14.3	55.65	14.3_55.65
Bornholm Basin	14.55	55.61667	14.55_55.61667
Bornholm Basin	14.41667	55.53333	14.41667_55.53333
Bornholm Basin	14.31667	55.45	14.31667_55.45
Bornholm Basin	14.65	55.78333	14.65_55.78333
Bothnian Sea	19.973	62.58667	19.973_62.58667
6	12.68667	56.02833	12.68667_56.02833
The Sound	12.825	55.8025	12.825_55.8025
The Sound	12.975	55.68917	12.975_55.68917
6	12.98417	55.6425	12.98417_55.6425
7	12.88583	55.48083	12.88583_55.48083
The Sound	12.8875	55.8025	12.8875_55.8025
Bornholm Basin	15.437	55.98583	15.437_55.98583
Bornholm Basin	14.53333	55.46667	14.53333_55.46667
1s	11.68667	57.6675	11.68667_57.6675
1s	11.66333	57.74833	11.66333_57.74833
Bornholm Basin	15.36183	55.9495	15.36183_55.9495
Bornholm Basin	14.6	55.58333	14.6_55.58333
25	11.757	57.77	11.757_57.77
Bornholm Basin	14.41667	55.68333	14.41667_55.68333
1s	11.76833	57.67883	11.76833_57.67883
4	11.80833	57.55	11.80833_57.55
25	11.88	57.6875	11.88_57.6875
2	11.54667	58.32333	11.54667_58.32333
2	11.62667	58.39333	11.62667_58.39333
2	11.88333	58.33333	11.88333_58.33333
1n	11.24	58.35367	11.24_58.35367
2	11.81	58.10917	11.81_58.10917
2	11.77333	58.3125	11.77333_58.3125
1n	11.66667	57.90117	11.66667_57.90117
2	11.58	58.2305	11.58_58.2305
3	11.10333	58.86833	11.10333_58.86833
1n	11.235	58.64167	11.235_58.64167
1n	11.42667	58.29083	11.42667_58.29083
1n	11.5625	58.06667	11.5625_58.06667
Arkona Basin	13.21667	55.2	13.21667_55.2
1n	11.40333	58.34333	11.40333_58.34333
1n	11.16833	58.725	11.16833_58.725
Arkona Basin	13.3	54.91667	13.3_54.91667
Arkona Basin	13.55	55.2	13.55_55.2
Arkona Basin	13.98333	54.98333	13.98333_54.98333
3	11.59333	57.91967	11.59333_57.91967
Bornholm Basin	14.75	55.45	14.75_55.45
Bornholm Basin	16.53483	55.67833	16.53483_55.67833
Bornholm Basin	16.34833	55.59833	16.34833_55.59833
Bornholm Basin	15.29833	55.39	15.29833_55.39
Western Gotland Basin	17.08333	57.45	17.08333_57.45
Western Gotland Basin	17.53167	57.45167	17.53167_57.45167
Western Gotland Basin	17.93833	57.01333	17.93833_57.01333
Western Gotland Basin	18.115	57.765	18.115_57.765
