area_tag	LONGI_DD	LATIT_DD	pos_string
Bornholm Basin	16.23167	55.48667	16.23167_55.48667
5	12.63833	56.57083	12.63833_56.57083
Western Gotland Basin	17.59767	57.48733	17.59767_57.48733
Bothnian Bay	21.51325	64.86171	21.51325_64.86171
Bornholm Basin	14.71667	55.71667	14.71667_55.71667
4	11.86167	57.31333	11.86167_57.31333
Bothnian Bay	23.2	65.15	23.2_65.15
The Sound	12.81833	55.80667	12.81833_55.80667
Bornholm Basin	14.89	55.6	14.89_55.6
Kattegat	11.83	56.80667	11.83_56.80667
Western Gotland Basin	17.98357	58.01643	17.98357_58.01643
Kattegat	11.45	57.16	11.45_57.16
12n	16.7	58.61667	16.7_58.61667
Western Gotland Basin	18.23642	58.5941	18.23642_58.5941
Skagerrak	10.34417	58.1405	10.34417_58.1405
Kattegat	11.66033	57.18383	11.66033_57.18383
Kattegat	12.20117	56.8065	12.20117_56.8065
Bothnian Sea	18.98333	61.08333	18.98333_61.08333
Kattegat	11.74517	56.87	11.74517_56.87
16	18.53533	60.40383	18.53533_60.40383
Arkona Basin	13.86667	55.04167	13.86667_55.04167
Western Gotland Basin	16.975	56.68667	16.975_56.68667
Skagerrak	8.53667	57.46333	8.53667_57.46333
Arkona Basin	13.4	55.06667	13.4_55.06667
2	11.43518	58.2597	11.43518_58.2597
2	11.5455	58.3225	11.5455_58.3225
Kattegat	12.26833	56.91333	12.26833_56.91333
Arkona Basin	13.2	54.9	13.2_54.9
Bornholm Basin	15.56433	55.73483	15.56433_55.73483
3	11.35	58.21667	11.35_58.21667
Bothnian Sea	18.06817	61.11667	18.06817_61.11667
22	22.445	65.7315	22.445_65.7315
Bothnian Sea	18.93683	62.71967	18.93683_62.71967
Eastern Gotland Basin	19.16667	57.35333	19.16667_57.35333
Eastern Gotland Basin	20.04	56.22167	20.04_56.22167
Arkona Basin	14.09908	54.97198	14.09908_54.97198
Arkona Basin	13.80333	55.325	13.80333_55.325
12n	17.6225	59.0245	17.6225_59.0245
18	19.50617	63.54017	19.50617_63.54017
Kattegat	11.97333	56.34333	11.97333_56.34333
Bornholm Basin	16.57833	55.85167	16.57833_55.85167
Western Gotland Basin	19.09527	58.78823	19.09527_58.78823
The Sound	12.83383	55.807	12.83383_55.807
5	12.557	56.3579	12.557_56.3579
5	12.61667	56.51667	12.61667_56.51667
Skagerrak	10.15	58.56667	10.15_58.56667
4	12.06667	57.16667	12.06667_57.16667
Skagerrak	11.35	57.87167	11.35_57.87167
Western Gotland Basin	17.98452	58.01687	17.98452_58.01687
Eastern Gotland Basin	19.20833	57.03667	19.20833_57.03667
