STATN	STNCODE	MONTH	DEPH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	DOXY:mean	DOXY:std	DOXY:number_of_values	O2SAT:mean	O2SAT:std	O2SAT:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	NTRZ:mean	NTRZ:std	NTRZ:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CPHL:mean	CPHL:std	CPHL:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values	ALKY:mean	ALKY:std	ALKY:number_of_values	PH:mean	PH:std	PH:number_of_values	HUMUS:mean	HUMUS:std	HUMUS:number_of_values
Å17	SKEX18	1	0.0	5.026	2.225	16	32.042	2.226	16	7.051	0.375	14	98.979	0.856	14	nan	nan	0	0.481	0.069	15	5.545	1.025	15	4.267	1.327	15	0.179	0.319	15	5.197	1.013	15	5.377	0.979	15	0.242	0.173	15	0.662	0.13	15	13.92	1.639	15	1.067	1.837	15	nan	nan	1	2.251	0.043	9	8.15	0.047	9	nan	nan	1
Å17	SKEX18	1	5.0	5.172	2.122	17	32.144	2.168	17	7.126	0.461	17	98.578	1.348	17	nan	nan	0	0.494	0.076	17	5.591	1.006	17	4.547	1.692	17	0.179	0.297	17	5.272	1.011	16	5.465	0.965	17	0.206	0.147	16	0.701	0.123	16	13.682	1.634	17	1.041	1.683	17	nan	nan	1	2.242	0.053	8	8.144	0.048	10	nan	nan	1
Å17	SKEX18	1	10.0	5.432	1.937	17	32.634	1.739	17	7.044	0.441	17	98.612	1.109	17	nan	nan	0	0.496	0.073	17	5.635	0.947	17	4.359	1.359	17	0.23	0.511	17	5.259	1.033	16	5.502	0.882	17	0.213	0.165	16	0.688	0.149	17	13.171	1.525	17	0.935	1.445	17	nan	nan	1	2.259	0.044	9	8.14	0.045	10	nan	nan	1
Å17	SKEX18	1	15.0	5.942	1.737	17	33.237	1.185	17	6.876	0.313	16	98.257	1.222	16	nan	nan	0	0.506	0.063	16	5.753	0.731	17	4.294	1.243	17	0.206	0.47	17	5.443	0.92	16	5.652	0.694	17	0.179	0.122	16	0.676	0.15	17	12.947	1.451	17	0.576	0.489	17	nan	nan	1	2.274	0.033	8	8.135	0.04	10	nan	nan	1
Å17	SKEX18	1	20.0	6.396	1.307	17	33.521	0.986	17	6.739	0.283	17	97.423	1.997	17	nan	nan	0	0.517	0.065	17	5.731	0.934	17	4.147	1.134	17	0.194	0.459	17	5.301	1.069	14	5.649	0.909	17	0.163	0.115	16	0.676	0.134	16	12.606	1.243	17	0.435	0.261	17	nan	nan	1	2.287	0.031	9	8.135	0.045	10	nan	nan	1
Å17	SKEX18	1	30.0	7.062	1.104	17	34.112	0.604	17	6.515	0.298	17	96.506	3.186	17	nan	nan	0	0.538	0.071	17	6.088	1.212	17	4.012	1.036	17	0.165	0.426	17	5.621	1.247	14	6.029	1.194	17	0.15	0.084	16	0.666	0.121	17	12.388	1.129	17	0.321	0.17	14	nan	nan	1	2.298	0.014	9	8.121	0.04	10	nan	nan	1
Å17	SKEX18	1	40.0	7.799	1.117	17	34.529	0.451	17	6.342	0.279	17	95.451	2.909	17	nan	nan	0	0.559	0.057	17	6.416	1.34	17	3.865	0.954	17	0.179	0.483	17	5.859	1.619	11	6.358	1.343	17	0.15	0.083	16	0.696	0.15	15	12.306	1.237	17	0.257	0.15	14	nan	nan	1	2.31	0.011	9	8.122	0.044	10	nan	nan	1
Å17	SKEX18	1	50.0	7.866	0.933	17	34.707	0.348	17	6.384	0.274	16	96.102	2.766	16	nan	nan	0	0.572	0.058	17	6.588	1.462	17	3.724	0.785	17	0.156	0.442	17	6.037	1.754	10	6.524	1.476	17	0.152	0.082	16	0.693	0.136	16	12.512	1.536	17	0.25	0.145	14	nan	nan	1	2.307	0.009	9	8.119	0.048	10	nan	nan	1
Å17	SKEX18	1	75.0	8.009	0.648	17	34.902	0.192	17	6.223	0.345	16	94.357	4.448	16	nan	nan	0	0.589	0.066	17	6.836	1.771	17	3.594	0.526	17	0.132	0.407	17	6.134	1.891	10	6.8	1.752	17	0.138	0.063	16	0.674	0.142	16	12.582	2.129	17	nan	nan	0	nan	nan	1	2.313	0.018	9	8.123	0.049	10	nan	nan	1
Å17	SKEX18	1	100.0	8.022	0.677	17	34.973	0.185	17	6.187	0.415	15	93.408	5.401	15	nan	nan	0	0.638	0.084	16	7.651	2.144	16	3.825	0.601	16	0.129	0.398	16	6.634	2.293	8	7.621	2.14	16	0.128	0.065	15	0.772	0.155	14	13.375	2.017	16	nan	nan	0	nan	nan	1	2.31	0.008	7	8.118	0.056	9	nan	nan	1
