depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	2	10			0					-0.28	0.30	2	-0.07	-0.50	-0.09	-0.48	6.13	0.01	2	6.14	6.12	6.14	6.12			0					-0.19	0.18	2	-0.06	-0.32	-0.07	-0.31	7.02	0.13	2	7.11	6.93	7.11	6.94			0					0.61	0.02	2	0.63	0.60	0.63	0.60	0.18	0.08	2	0.24	0.13	0.23	0.14	3.96	1.43	2	4.97	2.95	4.87	3.05	4.14	1.51	2	5.21	3.08	5.10	3.19	0.40	0.01	2	0.41	0.39	0.41	0.39	12.60	0.14	2	12.70	12.50	12.69	12.51			0							0							0							0							0					23.10	1.70	2	24.30	21.90	24.18	22.02	0.95	0.03	2	0.97	0.93	0.97	0.93
0.00	4	10			0					4.49	1.13	2	5.29	3.69	5.21	3.77	7.25	0.23	2	7.41	7.08	7.39	7.10	9.60		1	9.60	9.60					0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	5	10			0					8.32		1	8.32	8.32	8.32	8.32	7.38		1	7.38	7.38	7.38	7.38	8.30		1	8.30	8.30	8.30	8.30			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	6	10	6.56	3.88	5	10.00	0.30			11.15	1.50	5	12.68	9.11			6.66	0.31	5	7.11	6.30			8.00		1	8.00	8.00			13.72	6.75	5	25.60	9.11			6.82	0.65	5	7.93	6.30			7.91	0.48	4	8.41	7.27			0.11	0.07	5	0.20	0.02			0.05	0.01	4	0.06	0.04			0.12	0.01	4	0.13	0.10			0.14	0.05	5	0.18	0.06			0.08	0.07	5	0.20	0.05			6.50	0.61	4	7.10	5.70			3.44	4.81	5	12.00	0.60					0							0							0							0					34.30	28.93	5	86.00	20.10			0.78	0.29	5	1.30	0.60		
0.00	7	10	5.59	1.70	9	8.50	2.30			21.37	0.93	4	22.61	20.47			6.09	0.18	4	6.26	5.88					0					18.02	3.89	11	22.57	10.80	22.04	11.70	6.88	0.63	11	7.42	5.89	7.42	5.94	9.32	0.53	6	9.90	8.60			0.18	0.17	11	0.53	0.05	0.50	0.05	0.03	0.00	4	0.03	0.03					0					0.17	0.22	11	0.76	0.02	0.56	0.02	0.23	0.26	11	0.79	0.05	0.69	0.05	7.40	1.17	4	9.10	6.50			3.00	1.60	11	6.80	0.80	5.75	1.15			0							0							0							0					23.82	3.80	11	33.00	20.00	30.50	20.45	0.74	0.19	11	1.10	0.48	1.00	0.48
0.00	8	10	4.90	1.67	12	7.00	0.90	6.45	2.00	16.64	2.60	3	18.76	13.73			6.41	0.24	3	6.59	6.14					0					17.78	1.89	12	21.10	13.70	20.33	14.59	6.91	0.49	12	8.11	6.16	7.67	6.34	8.17	1.40	10	9.85	6.01			0.12	0.10	12	0.32	0.01	0.30	0.02	0.04	0.01	4	0.06	0.03			0.10	0.01	2	0.11	0.10			0.06	0.05	12	0.17	0.01	0.14	0.01	0.10	0.05	12	0.20	0.05	0.19	0.05	9.03	0.85	4	9.90	8.30			3.37	1.83	12	8.90	1.60	6.09	2.04			0							0							0							0					27.72	13.83	12	71.00	21.00	47.35	21.44	0.71	0.21	12	1.20	0.50	1.03	0.50
0.00	12	10	5.25	1.06	2	6.00	4.50	5.92	4.58	-0.17	0.05	2	-0.13	-0.20	-0.13	-0.20	6.77	0.28	2	6.97	6.57	6.95	6.59			0					-0.09	0.07	2	-0.04	-0.14	-0.04	-0.14	7.04	0.03	2	7.06	7.02	7.06	7.03			0					0.56	0.00	2	0.56	0.56	0.56	0.56	0.33	0.04	2	0.36	0.30	0.36	0.30	2.38	0.56	2	2.78	1.99	2.74	2.03	2.71	0.60	2	3.14	2.29	3.10	2.33	1.07	0.01	2	1.08	1.07	1.08	1.07	12.85	0.07	2	12.90	12.80	12.89	12.80			0							0							0							0							0					22.40	0.42	2	22.70	22.10	22.67	22.13	0.86	0.03	2	0.88	0.84	0.88	0.84
5.00	2	10			0					-0.22	0.22	2	-0.07	-0.38	-0.08	-0.36	6.37	0.03	2	6.38	6.34	6.38	6.35			0					-0.19	0.17	2	-0.07	-0.31	-0.08	-0.30	7.03	0.12	2	7.12	6.95	7.11	6.96	9.59	0.19	2	9.72	9.45	9.71	9.46	0.62	0.02	2	0.63	0.60	0.63	0.61	0.19	0.08	2	0.25	0.14	0.24	0.14	3.83	1.31	2	4.76	2.90	4.67	3.00	4.03	1.39	2	5.01	3.04	4.91	3.14	0.34	0.09	2	0.41	0.28	0.40	0.28	12.45	0.14	2	12.55	12.35	12.54	12.36			0							0							0							0							0					23.02	1.73	2	24.25	21.80	24.13	21.92	0.95	0.01	2	0.96	0.94	0.96	0.95
5.00	4	10			0					4.47	1.14	2	5.28	3.67	5.20	3.75	7.25	0.23	2	7.41	7.08	7.39	7.10	9.50		1	9.50	9.50					0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
5.00	5	10			0					8.26		1	8.26	8.26	8.26	8.26	7.38		1	7.38	7.38	7.38	7.38	8.30		1	8.30	8.30	8.30	8.30			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
