depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	2	11	5.00		1	5.00	5.00	5.00	5.00	0.60		1	0.60	0.60	0.60	0.60	6.16		1	6.16	6.16	6.16	6.16			0					0.68		1	0.68	0.68	0.68	0.68	7.14		1	7.14	7.14	7.14	7.14	8.71		1	8.71	8.71	8.71	8.71	0.89		1	0.89	0.89	0.89	0.89	0.14		1	0.14	0.14	0.14	0.14	3.40		1	3.40	3.40	3.40	3.40	3.54		1	3.54	3.54	3.54	3.54	0.75		1	0.75	0.75	0.75	0.75	16.40		1	16.40	16.40	16.40	16.40			0							0							0							0							0					25.10		1	25.10	25.10	25.10	25.10	1.34		1	1.34	1.34	1.34	1.34
0.00	3	11			0					2.83		1	2.83	2.83	2.83	2.83	7.00		1	7.00	7.00	7.00	7.00	8.70		1	8.70	8.70	8.70	8.70			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	6	11	13.00		1	13.00	13.00	13.00	13.00	5.47		1	5.47	5.47	5.47	5.47	6.49		1	6.49	6.49	6.49	6.49			0							0					6.51		1	6.51	6.51	6.51	6.51	8.64		1	8.64	8.64	8.64	8.64	0.19		1	0.19	0.19	0.19	0.19	0.05		1	0.05	0.05	0.05	0.05	0.12		1	0.12	0.12	0.12	0.12	0.17		1	0.17	0.17	0.17	0.17	0.08		1	0.08	0.08	0.08	0.08	7.60		1	7.60	7.60	7.60	7.60	1.20		1	1.20	1.20	1.20	1.20			0							0							0							0					21.30		1	21.30	21.30	21.30	21.30	0.64		1	0.64	0.64	0.64	0.64
0.00	7	11	5.17	0.29	3	5.50	5.00	5.45	5.00	21.91		1	21.91	21.91			5.87		1	5.87	5.87					0					19.34	2.26	3	21.92	17.70	21.57	17.77	6.77	0.78	3	7.31	5.88	7.29	6.01	9.50		1	9.50	9.50			0.11	0.06	3	0.18	0.07	0.17	0.07	0.03		1	0.03	0.03					0					0.15	0.04	3	0.18	0.10	0.18	0.11	0.07	0.02	3	0.09	0.05	0.09	0.05	7.40		1	7.40	7.40			4.60	0.70	3	5.10	3.80	5.08	3.91			0							0							0							0					23.37	1.19	3	24.10	22.00	24.09	22.20	0.69	0.12	3	0.80	0.57	0.79	0.58
0.00	8	11	5.17	1.26	3	6.50	4.00	6.35	4.10	16.93		1	16.93	16.93			6.28		1	6.28	6.28					0					17.77	0.67	3	18.30	17.02	18.27	17.12	6.72	0.06	2	6.76	6.68			6.80		1	6.80	6.80			0.04	0.04	3	0.08	0.01	0.07	0.01	0.04		1	0.04	0.04			0.10		1	0.10	0.10			0.04	0.05	3	0.10	0.01	0.09	0.01	0.10	0.04	3	0.14	0.07	0.13	0.07	7.20		1	7.20	7.20			4.30	0.44	3	4.60	3.80	4.59	3.87			0							0							0							0					23.90	0.17	3	24.00	23.70	24.00	23.73	0.59	0.08	3	0.66	0.50	0.65	0.51
0.00	12	11	5.00		1	5.00	5.00	5.00	5.00	0.86		1	0.86	0.86	0.86	0.86	6.91		1	6.91	6.91	6.91	6.91			0					0.28		1	0.28	0.28	0.28	0.28	7.20		1	7.20	7.20	7.20	7.20			0					0.88		1	0.88	0.88	0.88	0.88	0.33		1	0.33	0.33	0.33	0.33	5.21		1	5.21	5.21	5.21	5.21	5.54		1	5.54	5.54	5.54	5.54	1.49		1	1.49	1.49	1.49	1.49	18.50		1	18.50	18.50	18.50	18.50			0							0							0							0							0					25.30		1	25.30	25.30	25.30	25.30	1.20		1	1.20	1.20	1.20	1.20
5.00	2	11	5.00		1	5.00	5.00	5.00	5.00	0.84		1	0.84	0.84	0.84	0.84	7.09		1	7.09	7.09	7.09	7.09			0					0.76		1	0.76	0.76	0.76	0.76	7.15		1	7.15	7.15	7.15	7.15	8.59		1	8.59	8.59	8.59	8.59	0.95		1	0.95	0.95	0.95	0.95	0.13		1	0.13	0.13	0.13	0.13	3.33		1	3.33	3.33	3.33	3.33	3.46		1	3.46	3.46	3.46	3.46	1.10		1	1.10	1.10	1.10	1.10	16.90		1	16.90	16.90	16.90	16.90			0							0							0							0							0					23.00		1	23.00	23.00	23.00	23.00	1.27		1	1.27	1.27	1.27	1.27
5.00	3	11			0					2.82		1	2.82	2.82	2.82	2.82	7.00		1	7.00	7.00	7.00	7.00	8.71		1	8.71	8.71	8.71	8.71			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
5.00	6	11	13.00		1	13.00	13.00	13.00	13.00	4.56		1	4.56	4.56	4.56	4.56	6.49		1	6.49	6.49	6.49	6.49			0							0							0					8.89		1	8.89	8.89	8.89	8.89	0.22		1	0.22	0.22	0.22	0.22	0.04		1	0.04	0.04	0.04	0.04	0.10		1	0.10	0.10	0.10	0.10	0.14		1	0.14	0.14	0.14	0.14	0.15		1	0.15	0.15	0.15	0.15	8.30		1	8.30	8.30	8.30	8.30			0							0							0							0							0					20.80		1	20.80	20.80	20.80	20.80	0.63		1	0.63	0.63	0.63	0.63
5.00	7	11	5.00		1	5.00	5.00	5.00	5.00	21.55		1	21.55	21.55	21.55	21.55	5.89		1	5.89	5.89	5.89	5.89			0					21.50		1	21.50	21.50	21.50	21.50	5.89		1	5.89	5.89	5.89	5.89			0					0.09		1	0.09	0.09	0.09	0.09	0.04		1	0.04	0.04	0.04	0.04			0					0.10		1	0.10	0.10	0.10	0.10	0.05		1	0.05	0.05	0.05	0.05	7.60		1	7.60	7.60	7.60	7.60			0							0							0							0							0					24.40		1	24.40	24.40	24.40	24.40	0.67		1	0.67	0.67	0.67	0.67
