depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p
0.00	9	12s			0					13.24	0.33	4	13.57	12.92			6.34	0.07	4	6.41	6.25			6.51		1	6.51	6.51			12.86		1	12.86	12.86			6.84		1	6.84	6.84					0							0							0							0							0							0							0							0							0							0							0							0				
0.00	10	12s			0					11.41	1.87	15	16.28	8.74	14.45	9.30	6.53	0.19	14	6.91	6.18			6.81	0.28	6	7.17	6.37			10.69		1	10.69	10.69			6.91		1	6.91	6.91					0							0							0							0							0							0							0							0							0							0							0							0				
5.00	9	12s			0					13.22	0.36	4	13.56	12.84	13.55	12.86	6.35	0.07	4	6.40	6.25	6.40	6.27	6.50		1	6.50	6.50					0							0							0							0							0							0							0							0							0							0							0							0							0							0				
5.00	10	12s			0					11.36	1.88	15	16.28	8.74	14.45	9.33	6.54	0.19	14	6.91	6.18			6.82	0.26	6	7.17	6.44			10.59		1	10.59	10.59			6.91		1	6.91	6.91					0							0							0							0							0							0							0							0							0							0							0							0				
10.00	9	12s			0					10.86	2.47	4	13.34	8.39			6.57	0.19	4	6.75	6.38			6.28		1	6.28	6.28			12.70		1	12.70	12.70			6.85		1	6.85	6.85					0							0							0							0							0							0							0							0							0							0							0							0				
10.00	10	12s			0					10.76	1.39	15	13.65	8.74	12.85	8.76	6.58	0.21	14	6.92	6.18			6.45	0.69	6	7.16	5.35			10.63		1	10.63	10.63			6.91		1	6.91	6.91					0							0							0							0							0							0							0							0							0							0							0							0				
15.00	9	12s			0					8.83	1.54	4	10.68	7.05			6.71	0.12	4	6.82	6.57			6.61		1	6.61	6.61			12.28		1	12.28	12.28			6.88		1	6.88	6.88					0							0							0							0							0							0							0							0							0							0							0							0				
15.00	10	12s			0					10.26	1.60	15	13.63	7.31	12.46	7.84	6.64	0.21	14	6.93	6.21			6.23	0.81	6	7.17	5.38			10.62		1	10.62	10.62			6.91		1	6.91	6.91					0							0							0							0							0							0							0							0							0							0							0							0				
20.00	9	12s			0					7.79	1.35	4	9.31	6.03			6.75	0.07	4	6.81	6.67			5.68		1	5.68	5.68			10.78		1	10.78	10.78			7.04		1	7.04	7.04					0							0							0							0							0							0							0							0							0							0							0							0				
20.00	10	12s			0					9.48	1.68	15	11.74	5.71	11.68	6.73	6.71	0.21	14	6.99	6.30			5.72	1.34	6	7.10	3.60			10.62		1	10.62	10.62			6.91		1	6.91	6.91					0							0							0							0							0							0							0							0							0							0							0							0				
