depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	1	1s	3.61	1.84	80.00	11.00	1.00			3.00	1.78	77.00	6.86	-1.00			18.89	4.80	68.00	29.00	5.51										2.75	1.73	83.00	6.77	-0.99			19.48	4.64	82.00	28.75	5.16			8.17	0.61	102.00	10.70	6.90			0.51	0.13	105.00	1.16	0.26	0.72	0.31	0.33	0.14	98.00	0.91	0.06			10.79	6.25	98.00	36.45	0.48			12.63	7.97	75.00	47.14	0.85			2.78	2.48	73.00	10.04	0.10			16.91	11.38	103.00	70.50	3.00			2.39	4.48	103.00	42.30	0.30																																						30.02	11.28	105.00	85.70	14.70	48.30	16.99	0.90	0.19	105.00	1.65	0.48	1.19	0.65	8.17	0.61	103.00	10.70	6.90			98.11	4.33	103.00	119.84	89.39			14.05	8.53	73.00	47.17	0.95			19.41	4.97	105.00	29.00	5.16	27.26	11.02	2.91	1.75	105.00	6.86	-1.00	5.42	-0.15
0.00	0_2.5	2	1s	3.80	1.61	93.00	9.00	0.90			1.84	1.39	74.00	5.47	-0.24			19.44	3.65	64.00	25.55	3.38										1.79	1.37	85.00	5.38	-0.39			20.52	4.04	83.00	27.13	2.00			8.32	0.54	107.00	9.62	6.85			0.49	0.16	110.00	0.75	0.03	0.65	0.13	0.34	0.17	102.00	0.80	0.02			11.20	6.16	101.00	43.15	0.86			12.14	7.03	74.00	43.34	0.10			2.27	2.31	80.00	13.87	0.02			15.70	11.27	104.00	81.50	0.20			2.15	2.81	105.00	16.30	0.25																																						28.63	9.67	104.00	67.20	12.86			0.85	0.18	104.00	1.55	0.50			8.33	0.54	108.00	9.62	6.85			98.02	4.33	107.00	110.42	78.80			14.55	7.69	80.00	45.18	0.10			20.05	3.95	109.00	27.13	3.38			1.87	1.33	110.00	5.47	-0.24	4.22	0.11
0.00	0_2.5	3	1s	3.75	1.94	99.00	9.00	1.00			2.56	1.38	79.00	5.86	-0.29			17.73	3.12	73.00	25.62	9.58										2.40	1.50	90.00	5.79	-0.71			19.10	4.15	88.00	31.20	6.80			8.73	0.81	115.00	11.00	6.60			0.29	0.18	114.00	0.82	0.02			0.22	0.13	108.00	0.58	0.02			10.03	6.64	106.00	35.71	0.07			9.30	6.13	80.00	24.39	0.10			2.23	2.96	85.00	20.84	0.05			11.77	8.94	110.00	57.00	0.20			5.37	5.06	110.00	25.40	0.25																																						28.62	8.99	110.00	59.50	12.99			0.78	0.20	110.00	1.32	0.31			8.73	0.81	115.00	11.00	6.60			102.93	7.90	114.00	127.92	78.44			13.15	8.47	85.00	38.43	0.07			18.42	4.10	114.00	31.20	6.80			2.40	1.43	115.00	5.86	-0.71		
0.00	0_2.5	4	1s	4.67	2.29	100.00	11.00	1.50			4.80	1.62	72.00	8.10	1.19			17.23	4.17	68.00	27.90	9.66										4.69	1.41	84.00	7.51	1.13			18.10	3.81	79.00	27.10	11.58			8.38	0.56	102.00	10.10	7.00			0.15	0.12	104.00	0.74	0.02	0.36	0.04	0.14	0.07	96.00	0.37	0.02			6.47	4.69	92.00	20.14	0.10			6.04	4.76	74.00	20.34	0.06			1.83	1.69	76.00	8.00	0.07			6.14	5.09	104.00	25.90	0.20	17.21	0.92	2.74	2.18	103.00	10.85	0.60																																						25.89	8.55	104.00	52.60	12.10	39.53	13.57	0.65	0.30	104.00	1.96	0.06	1.23	0.29	8.38	0.56	102.00	10.10	7.00			104.31	5.77	100.00	129.60	94.03			9.14	5.43	74.00	21.50	0.28			17.61	4.24	103.00	27.90	9.66			4.87	1.47	103.00	8.10	1.19		
0.00	0_2.5	5	1s	4.37	1.56	121.00	9.00	1.55	7.00	2.00	10.15	1.81	87.00	18.59	7.40			16.75	3.41	83.00	28.45	8.16										10.21	2.09	100.00	19.00	6.95			16.67	3.07	93.00	23.84	9.83			7.64	0.50	119.00	9.67	5.70			0.09	0.05	120.00	0.30	0.02			0.12	0.08	110.00	0.35	0.02			5.60	5.11	96.00	25.22	0.10			5.21	5.38	87.00	25.54	0.10			1.45	1.46	78.00	8.82	0.07			4.53	3.10	120.00	18.10	0.20			2.73	1.60	121.00	8.30	0.80	5.95	1.03																																				24.41	8.16	121.00	53.60	12.14	39.50	14.29	0.52	0.19	121.00	1.49	0.13	0.85	0.27	7.62	0.53	120.00	9.67	5.54			106.68	7.46	120.00	136.19	80.80			7.42	5.71	77.00	28.09	0.10			16.90	3.44	121.00	28.45	8.16	21.70	11.47	9.98	1.85	121.00	18.59	6.95	13.42	7.72
0.00	0_2.5	6	1s	4.85	1.83	108.00	9.00	1.90			15.36	1.91	70.00	19.80	12.04			17.61	2.19	64.00	22.38	10.86										15.14	1.98	92.00	18.80	11.63			17.16	2.47	85.00	22.79	11.50			6.92	0.42	111.00	7.98	5.76			0.09	0.05	113.00	0.40	0.02			0.12	0.08	104.00	0.34	0.02			3.61	3.84	86.00	14.24	0.07			3.25	3.86	73.00	14.52	0.07			1.07	1.43	82.00	6.33	0.05			2.39	2.06	107.00	13.40	0.10			2.74	1.82	109.00	11.15	0.40																																						22.66	7.21	108.00	43.95	12.37			0.45	0.15	108.00	0.79	0.06			6.91	0.42	113.00	7.98	5.76			108.11	6.54	111.00	127.92	93.94			4.89	5.22	80.00	20.27	0.07			17.17	2.49	112.00	22.79	10.86			15.13	1.98	114.00	19.80	11.63	18.10	12.18
0.00	0_2.5	7	1s	5.15	2.15	105.00	12.10	2.00			17.95	1.72	79.00	23.13	15.49			18.64	2.80	75.00	24.66	12.17										17.76	1.99	89.00	23.26	13.80			19.05	2.71	81.00	25.59	12.28			6.35	0.39	104.00	7.29	5.09			0.07	0.04	108.00	0.29	0.02	0.15	0.03	0.10	0.09	100.00	0.36	0.02			2.76	3.48	80.00	12.79	0.07			2.10	3.13	71.00	13.10	0.07			0.85	1.18	78.00	7.41	0.05			2.02	1.97	105.00	10.70	0.10			2.64	2.06	108.00	11.00	0.20	6.06	0.40																																				20.98	7.57	108.00	64.30	10.71	34.42	12.04	0.47	0.17	108.00	1.02	0.06	0.73	0.19	6.33	0.39	107.00	7.29	5.09			105.37	6.40	107.00	120.91	84.17			3.69	4.62	76.00	20.21	0.07			18.82	2.88	108.00	25.59	12.17	23.26	13.74	17.69	1.93	108.00	23.13	13.80	21.33	14.69
0.00	0_2.5	8	1s	5.38	2.26	117.00	13.00	2.00			19.39	1.47	78.00	22.07	16.35			18.11	2.48	74.00	22.66	9.61										19.23	1.54	101.00	22.45	15.88			18.62	2.54	92.00	25.94	11.57			6.23	0.47	117.00	7.68	5.10			0.08	0.05	120.00	0.32	0.02	0.17	0.03	0.14	0.17	110.00	1.28	0.02			2.57	3.06	89.00	13.64	0.02			2.23	3.01	80.00	14.04	0.10			0.97	1.23	83.00	6.25	0.05			2.56	2.25	114.00	13.10	0.10			3.49	2.70	115.00	15.09	0.40																																						21.63	7.21	115.00	61.43	11.35			0.51	0.14	115.00	0.87	0.06			6.22	0.47	118.00	7.68	5.10			106.26	7.42	116.00	130.29	86.98			3.70	4.30	81.00	18.67	0.07			18.44	2.56	118.00	25.94	9.61			19.26	1.55	120.00	22.45	15.88	21.78	16.66
0.00	0_2.5	9	1s	5.53	2.37	111.00	11.50	1.50			17.05	1.22	75.00	21.50	14.61			19.18	3.11	69.00	25.11	10.71										17.00	1.25	92.00	20.83	14.57			19.29	2.73	86.00	24.59	11.08			6.21	0.40	111.00	7.78	5.32			0.09	0.06	112.00	0.39	0.02	0.19	0.03	0.13	0.10	102.00	0.51	0.02			2.88	2.89	77.00	11.25	0.02			2.35	2.93	79.00	11.51	0.07			1.19	1.43	76.00	6.08	0.05			3.39	3.38	112.00	27.10	0.10	7.70	0.33	4.07	2.66	112.00	12.20	0.60	9.59	1.00																																				21.46	6.17	112.00	40.65	12.21	33.38	13.59	0.54	0.17	112.00	0.94	0.13	0.81	0.26	6.21	0.40	111.00	7.78	5.32			102.09	6.15	109.00	130.81	92.33			4.21	4.38	74.00	15.95	0.07			19.09	2.84	110.00	24.59	10.71			17.03	1.37	112.00	21.50	14.57	19.14	15.00
0.00	0_2.5	10	1s	4.45	1.88	108.00	11.00	0.50			13.09	1.32	78.00	16.65	10.50			19.46	4.30	69.00	30.14	5.23			6.72	0.49	16.00	7.84	6.00			12.82	1.39	98.00	16.59	9.50			19.72	3.82	96.00	29.59	5.80			6.52	0.49	117.00	8.98	5.26			0.16	0.09	119.00	0.53	0.04	0.33	0.06	0.18	0.15	109.00	0.78	0.02			3.60	3.99	102.00	16.88	0.07			3.46	4.04	76.00	17.25	0.07			1.88	2.28	83.00	10.05	0.07			6.21	8.10	114.00	63.20	0.20			4.95	4.48	113.00	37.40	1.05																																						23.48	8.68	114.00	52.25	8.57			0.68	0.36	114.00	3.29	0.29			6.52	0.49	117.00	8.98	5.26			98.72	6.01	114.00	133.10	85.23			5.99	6.15	81.00	26.36	0.07			19.58	4.11	116.00	30.14	5.23			12.81	1.38	119.00	16.65	9.50	14.78	10.50
