depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	1	20								0.58	0.93	28.00	4.17	-0.25			4.38	0.76	25.00	5.44	2.00																															0.27	0.16	32.00	0.62	0.07			0.13	0.05	28.00	0.33	0.06			5.76	0.57	28.00	6.75	4.60										0.56	0.94	30.00	5.00	0.14			33.60	19.27	28.00	124.60	20.95										16.30	9.54	21.00	56.60	10.80										7.75	0.24	29.00	8.07	7.10																	19.81	1.96	31.00	25.05	14.99			0.48	0.17	32.00	0.87	0.25																	6.34	1.06	30.00	10.35	4.93			4.20	0.96	30.00	5.44	2.00			0.58	0.93	28.00	4.17	-0.25		
0.00	0_2.5	2	20	4.23	1.65	24.00	8.00	1.50			0.12	0.38	54.00	1.63	-0.26			3.21	1.23	57.00	5.52	0.50										0.68	1.11	21.00	4.20	-0.50			2.27	0.53	28.00	3.60	2.00										0.20	0.18	82.00	1.34	0.04			0.14	0.08	50.00	0.40	0.05			6.57	1.32	51.00	10.45	3.57			5.90	1.75	34.00	11.50	3.57			3.43	7.68	78.00	55.65	0.09			49.71	38.29	39.00	208.30	18.40										21.50	13.84	26.00	65.90	11.00										7.57	0.39	44.00	8.02	6.80																	22.74	13.31	82.00	103.52	5.40			0.40	0.26	83.00	2.05	0.06			8.15	2.02	27.00	13.10	3.08			89.94	15.70	17.00	128.78	62.11			9.94	8.41	78.00	64.36	4.90			3.05	1.18	77.00	5.52	0.50			0.28	0.71	75.00	4.20	-0.50		
0.00	0_2.5	3	20	3.73	1.71	33.00	8.00	0.50			0.41	0.50	93.00	2.20	-0.22			2.81	1.07	86.00	4.93	1.00			8.08	1.12	28.00	9.73	5.67			0.74	1.72	25.00	7.30	-0.10			2.26	0.67	53.00	4.77	2.00			8.48	1.20	19.00	10.08	5.70			0.21	0.24	126.00	2.10	0.02			0.16	0.08	59.00	0.48	0.05			6.77	1.76	59.00	13.56	3.57			6.23	2.59	69.00	18.56	2.71			6.31	21.05	108.00	185.60	0.07			63.26	53.91	42.00	210.40	21.90										27.51	18.71	36.00	70.50	11.00										7.33	0.57	92.00	8.59	5.60																	27.63	29.01	125.00	292.70	11.40			0.61	1.32	127.00	14.53	0.06			8.24	1.16	47.00	10.08	5.67			84.06	13.07	32.00	102.53	56.32			13.03	21.86	108.00	194.90	3.55			2.72	1.03	115.00	4.93	1.00			0.47	0.91	118.00	7.30	-0.22		
0.00	0_2.5	4	20	3.59	1.32	37.00	7.00	0.80			1.60	1.05	63.00	3.60	-0.04			3.20	1.03	64.00	5.07	2.00										0.84	0.87	16.00	3.10	0.10			2.32	0.74	33.00	5.17	2.00										0.17	0.20	84.00	1.03	0.02			0.15	0.06	50.00	0.34	0.04			3.40	3.12	50.00	12.04	0.04			7.84	7.37	34.00	36.40	2.00			2.15	4.29	74.00	21.42	0.06			44.04	41.97	50.00	204.00	13.35										22.19	13.17	40.00	63.90	11.80										7.56	0.58	77.00	8.46	6.10																	23.57	14.98	84.00	100.00	11.40			0.59	0.69	85.00	5.00	0.06			8.51	2.20	22.00	11.20	2.52			97.22	15.59	17.00	119.69	58.33			7.38	9.01	74.00	51.40	0.15			3.12	1.04	80.00	5.07	2.00			1.45	1.06	78.00	3.60	-0.04		
0.00	0_2.5	5	20	2.86	1.04	39.00	7.20	1.50			6.87	2.47	68.00	13.00	1.10			2.77	0.73	86.00	4.14	2.00			8.27	0.88	21.00	9.73	6.58			6.27	2.58	39.00	11.00	1.60			2.10	0.36	58.00	3.80	2.00										0.12	0.13	110.00	0.71	0.01			0.12	0.05	52.00	0.23	0.03			1.02	1.15	51.00	5.47	0.04			2.40	1.40	57.00	5.93	0.50			0.71	0.80	83.00	3.93	0.06			37.28	12.84	59.00	75.00	19.90										28.65	10.86	42.00	65.60	15.30										7.53	0.53	102.00	8.45	6.50																	17.54	3.02	109.00	25.70	10.00			0.48	0.42	110.00	4.19	0.10			8.36	1.10	33.00	10.07	4.83			101.75	11.34	32.00	119.63	60.11			1.98	1.35	80.00	5.67	0.12			2.67	0.73	111.00	4.14	2.00			6.66	2.52	106.00	13.00	1.10		
0.00	0_2.5	6	20	3.40	1.50	86.00	7.00	0.60			13.01	3.12	102.00	19.20	6.93			2.71	0.80	103.00	4.46	1.00			6.86	1.39	44.00	10.90	1.47			13.33	2.54	38.00	18.70	9.00			2.19	0.50	74.00	4.31	2.00										0.12	0.38	142.00	3.87	0.01			0.09	0.04	43.00	0.19	0.04			0.41	0.62	43.00	2.50	0.04			0.97	1.10	98.00	5.64	0.10			0.81	1.34	115.00	12.10	0.06			31.56	10.97	49.00	61.00	14.00			5.84	3.52	25.00	13.00	1.90			20.00	5.17	36.00	39.00	12.80										7.56	0.42	117.00	8.31	6.40																	17.59	8.39	143.00	61.00	6.60			0.48	0.56	145.00	5.16	0.06			7.01	1.34	53.00	10.90	1.47			99.25	12.94	41.00	138.46	71.12			1.47	1.80	113.00	12.50	0.10			2.65	0.80	132.00	4.46	1.00			13.10	2.97	140.00	19.20	6.93		
0.00	0_2.5	7	20	3.10	1.62	121.00	8.00	0.10			17.07	2.69	107.00	22.80	7.50			2.91	1.13	90.00	11.00	1.00			6.26	0.95	43.00	7.84	3.80										2.53	0.77	64.00	6.60	2.00			6.62	0.88	27.00	7.85	5.03			0.09	0.08	103.00	0.48	0.01			0.09	0.07	27.00	0.36	0.03			0.53	1.33	28.00	7.00	0.04			0.75	0.71	75.00	4.28	0.14			0.85	1.74	94.00	10.70	0.02			28.20	8.20	38.00	50.55	11.80			6.16	5.91	42.00	32.00	1.50			16.29	5.21	21.00	32.70	11.60										7.71	0.50	69.00	9.00	6.35																	20.57	11.13	147.00	65.00	2.90			0.53	0.45	147.00	2.97	0.06			6.41	0.94	66.00	7.85	3.80			99.36	15.04	42.00	127.45	58.08			1.49	2.08	94.00	11.60	0.15			2.84	1.00	137.00	11.00	1.00			17.04	2.58	122.00	22.80	7.50		
0.00	0_2.5	8	20	3.43	1.75	135.00	8.00	0.10			16.59	2.26	142.00	23.50	9.51			2.86	0.81	123.00	4.59	0.40			6.62	1.15	64.00	10.90	4.00			17.49	2.48	39.00	24.00	12.80			2.33	0.64	98.00	6.11	2.00			6.66	0.79	26.00	8.10	4.90			0.09	0.09	171.00	0.90	0.01			0.08	0.04	43.00	0.22	0.04			0.35	0.56	42.00	2.08	0.04			0.76	0.59	128.00	4.50	0.07			1.12	2.10	147.00	21.42	0.02			25.89	7.95	54.00	49.90	12.60			4.12	2.44	44.00	11.00	1.15			17.98	10.98	37.00	68.80	11.50										7.68	0.42	136.00	9.10	6.50										0.55	0.23	17.00	0.85	0.25			18.60	7.82	200.00	57.10	8.60			0.47	0.36	200.00	2.50	0.10			6.65	1.05	89.00	10.90	4.00			100.49	16.75	65.00	166.80	61.01			1.72	2.29	145.00	21.78	0.12			2.76	0.81	185.00	6.11	0.40			16.78	2.33	181.00	24.00	9.51		
0.00	0_2.5	9	20	3.73	0.66	29.00	5.35	2.50			12.62	2.05	43.00	18.09	8.09			3.67	0.79	47.00	5.19	2.00																															0.07	0.05	45.00	0.25	0.01			0.10	0.05	39.00	0.20	0.05			0.70	0.72	39.00	2.78	0.04										0.33	0.25	37.00	1.09	0.06			23.95	5.01	39.00	38.10	13.90										16.05	6.18	31.00	36.10	10.90										7.79	0.25	45.00	8.11	7.10																	16.90	2.18	45.00	23.50	11.40			0.33	0.09	45.00	0.59	0.16																	1.13	0.89	36.00	3.73	0.17			3.70	0.81	49.00	5.26	2.00	4.83	2.00	12.51	2.02	49.00	18.09	8.09	15.51	9.46
0.00	0_2.5	10	20	3.90	1.39	39.00	8.00	1.60			7.25	2.27	61.00	11.85	1.50			3.58	1.11	61.00	5.58	2.00			7.90	0.94	21.00	9.94	6.09			4.98	2.20	21.00	9.00	0.40			2.18	0.55	41.00	4.20	2.00										0.12	0.10	85.00	0.65	0.01			0.17	0.05	43.00	0.26	0.05			2.06	1.21	42.00	5.26	0.12			2.13	0.90	42.00	5.14	0.86			1.16	1.24	72.00	6.57	0.09			28.77	6.46	49.00	53.60	17.47										17.34	5.39	36.00	30.80	10.60										7.59	0.33	78.00	8.21	6.80																	17.34	3.69	84.00	32.90	9.30			0.36	0.15	85.00	0.91	0.10			7.96	0.88	31.00	9.94	6.09			93.03	9.56	29.00	111.91	70.80			3.38	1.81	70.00	11.35	0.40			3.25	1.16	87.00	5.58	2.00	4.80	2.00	6.67	2.46	81.00	11.85	0.40		
