depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	9	5.54	3.08	86.00	15.10	0.50			2.39	1.59	69.00	6.25	-0.60			6.70	1.55	63.00	9.80	2.00										2.34	1.49	58.00	6.24	-0.29			6.85	1.26	69.00	8.36	2.00			8.61	1.01	74.00	9.94	2.46			0.69	0.17	89.00	1.16	0.39			0.38	0.23	75.00	1.00	0.07			7.67	11.16	72.00	66.61	2.00			14.59	35.07	77.00	246.30	2.00			1.33	3.00	88.00	20.13	0.05			27.84	36.32	89.00	200.00	7.50			1.03	0.75	84.00	5.90	0.10																															32.70	30.50	89.00	197.00	12.10			1.11	0.28	89.00	1.97	0.67			8.61	1.01	74.00	9.94	2.46			14.74	34.69	88.00	254.81	2.71			6.89	1.34	93.00	9.80	2.00			2.40	1.52	93.00	6.25	-0.60		
0.00	2	9	5.91	2.74	67.00	15.80	1.50			1.70	1.39	67.00	5.60	-0.85			7.05	0.53	66.00	8.90	5.47			8.82	0.50	22.00	9.60	7.21			1.32	1.37	44.00	4.68	-0.37			6.98	0.39	56.00	7.93	5.96			9.24	0.37	59.00	9.91	8.19			0.75	0.17	73.00	1.13	0.45			0.42	0.23	70.00	1.06	0.11			5.33	2.26	70.00	18.09	2.11			5.84	2.34	62.00	18.56	2.32			0.32	0.26	72.00	1.13	0.05			19.64	5.21	73.00	40.30	10.50			1.31	2.40	72.00	20.00	0.30																															24.59	4.06	72.00	42.60	16.00			1.11	0.29	72.00	2.36	0.52			9.24	0.37	59.00	9.91	8.19			6.01	2.38	72.00	19.08	2.32			7.06	0.51	84.00	8.90	5.47			1.62	1.39	85.00	5.60	-0.85		
0.00	3	9	6.26	3.10	64.00	13.20	0.50			2.22	1.72	68.00	7.39	-0.40			6.67	1.29	64.00	8.30	2.00										2.41	1.84	51.00	6.97	-0.24			6.63	1.26	58.00	8.87	2.34			9.19	0.74	67.00	10.35	5.88			0.57	0.18	76.00	1.02	0.03			0.27	0.13	64.00	0.58	0.05			9.76	17.46	64.00	88.44	0.09			9.87	17.02	68.00	88.82	0.09			0.77	1.55	74.00	8.04	0.05			25.25	30.05	76.00	155.10	0.49			2.91	2.57	68.00	10.30	0.30																															30.89	22.55	74.00	145.00	12.80			1.01	0.28	75.00	2.36	0.60			9.19	0.74	67.00	10.35	5.88			10.18	17.70	74.00	94.12	0.10			6.76	1.21	81.00	8.87	2.00			2.25	1.75	82.00	7.39	-0.40		
0.00	4	9	7.03	3.11	87.00	16.00	1.20			4.57	1.66	70.00	7.96	0.60			6.90	0.61	65.00	8.00	3.40										4.94	2.17	93.00	14.20	0.15			6.90	0.39	74.00	8.00	5.59			9.13	0.54	79.00	10.71	8.05			0.26	0.15	88.00	0.78	0.02			0.06	0.05	80.00	0.35	0.02			0.87	2.13	42.00	13.06	0.07			0.65	1.78	81.00	13.17	0.07			0.21	0.23	88.00	1.50	0.05			6.42	5.08	88.00	23.70	0.40			2.79	2.43	87.00	13.00	0.20																															21.39	4.89	88.00	49.20	12.14			0.72	0.18	88.00	1.26	0.38			9.13	0.54	79.00	10.71	8.05			0.87	1.85	88.00	13.84	0.09			6.91	0.57	90.00	8.00	3.40			4.75	2.03	124.00	14.20	0.15	7.39	2.16
0.00	5	9	8.52	3.73	75.00	17.90	0.50			10.09	2.92	66.00	17.20	4.40			6.85	0.55	60.00	7.80	5.02										10.20	3.14	59.00	16.56	4.00			6.63	1.02	57.00	7.60	2.00			8.04	0.46	66.00	9.10	6.77			0.23	0.13	75.00	0.59	0.02			0.06	0.05	61.00	0.26	0.02			0.45	1.07	36.00	5.92	0.07			0.44	0.95	67.00	6.18	0.07			0.22	0.18	75.00	0.87	0.05			7.67	4.88	75.00	28.90	0.70			2.13	3.60	70.00	18.90	0.10																															22.10	10.26	75.00	54.70	9.30			0.75	0.47	75.00	2.87	0.32			8.05	0.48	66.00	9.34	6.77			0.60	1.01	75.00	7.05	0.10			6.76	0.93	79.00	7.80	2.00			9.80	3.09	86.00	17.20	4.00		
0.00	6	9	7.62	2.17	108.00	14.00	3.00			13.87	2.45	74.00	17.64	6.73			6.87	0.68	68.00	7.70	2.00										14.87	2.39	77.00	19.50	7.88			6.95	0.31	90.00	8.00	6.20			7.21	0.41	93.00	8.33	6.20			0.26	0.13	105.00	0.66	0.03			0.05	0.03	97.00	0.21	0.02			0.16	0.10	41.00	0.46	0.07			0.15	0.10	98.00	0.67	0.07			0.23	0.23	107.00	1.36	0.05			8.04	3.17	107.00	17.14	0.10			1.50	1.22	107.00	6.90	0.20																															19.81	2.54	107.00	25.20	6.40			0.67	0.19	105.00	1.07	0.27			7.24	0.47	96.00	9.30	6.20			0.34	0.31	107.00	1.72	0.07			6.90	0.57	109.00	8.00	2.00			14.40	2.53	110.00	19.50	6.73		
0.00	7	9	6.67	2.61	105.00	13.90	0.50			16.42	3.50	80.00	24.71	6.90			7.03	0.42	72.00	7.90	5.69			6.98	0.31	19.00	7.55	6.27			17.25	3.00	70.00	24.51	8.50			7.11	0.38	83.00	8.00	5.67			6.94	0.51	83.00	8.30	5.50			0.30	0.17	102.00	0.89	0.03			0.07	0.11	92.00	1.09	0.02			0.73	3.61	56.00	26.81	0.07			0.56	3.00	88.00	27.90	0.07			0.24	0.24	104.00	1.36	0.05			9.01	4.29	104.00	31.10	0.98			3.11	3.92	98.00	23.20	0.10																															23.37	10.54	104.00	77.70	10.70			0.84	0.48	101.00	3.58	0.35			6.90	0.62	85.00	8.30	3.60			0.70	2.88	104.00	29.14	0.07			7.10	0.40	109.00	8.15	5.69	7.80	6.52	16.57	3.29	108.00	24.71	6.90		
0.00	8	9	6.50	1.94	117.00	12.60	3.00			17.69	2.82	80.00	22.00	10.44			6.99	0.35	71.00	7.90	6.16			6.53	0.48	17.00	7.35	5.73			18.03	2.78	92.00	23.30	10.40			7.02	0.36	102.00	7.97	6.06			6.60	0.56	99.00	8.54	4.69			0.26	0.15	115.00	0.74	0.04			0.06	0.03	110.00	0.18	0.02			0.19	0.18	59.00	1.08	0.07			0.18	0.19	100.00	1.26	0.07			0.40	0.83	116.00	6.63	0.01			11.17	3.80	117.00	27.20	3.60			2.76	1.54	114.00	10.10	0.50																															22.12	3.15	116.00	29.70	12.10			0.75	0.18	114.00	1.27	0.39			6.62	0.57	101.00	8.54	4.69			0.56	0.90	116.00	6.73	0.07			7.01	0.37	123.00	7.97	6.05	7.70	6.56	17.85	2.88	123.00	23.30	10.40	21.63	11.41
0.00	9	9	6.84	2.65	82.00	12.50	1.00			14.63	2.82	75.00	22.60	7.88			7.04	0.37	73.00	7.80	6.04										14.89	2.30	57.00	18.68	7.94			7.01	0.32	66.00	7.61	6.04			6.87	0.48	75.00	9.70	6.00			0.36	0.20	83.00	1.04	0.09			0.06	0.03	70.00	0.16	0.02			0.28	0.70	40.00	4.50	0.07			0.21	0.19	76.00	1.13	0.07			0.26	0.27	83.00	1.43	0.05			10.26	3.16	83.00	18.90	3.30			2.80	2.28	78.00	15.20	0.40																															21.77	5.84	81.00	43.20	10.70			0.86	0.41	81.00	2.70	0.34			6.89	0.53	75.00	9.70	6.00			0.46	0.46	83.00	2.36	0.10			7.05	0.35	86.00	7.80	6.04	7.68	6.52	14.74	2.68	86.00	22.60	7.88	18.05	9.57
0.00	10	9	7.96	2.21	66.00	14.40	3.00			10.46	1.88	66.00	14.00	5.40			7.00	0.36	63.00	7.90	6.37			7.00	0.57	16.00	7.70	5.78			10.74	1.65	55.00	14.30	6.51			6.94	0.32	61.00	7.80	6.39			7.27	0.30	70.00	8.06	6.50			0.42	0.15	76.00	0.82	0.15			0.09	0.06	71.00	0.39	0.02			0.52	0.48	58.00	2.04	0.10			0.54	0.52	68.00	2.30	0.05			0.48	0.42	76.00	1.95	0.05			12.77	3.92	76.00	24.30	2.50			2.92	1.97	76.00	12.00	0.60																															21.35	2.94	75.00	33.00	13.60			0.87	0.20	75.00	1.45	0.55			7.27	0.30	70.00	8.06	6.50			0.97	0.85	76.00	3.03	0.10			6.98	0.36	80.00	7.90	6.37			10.68	1.82	81.00	14.30	5.40		
