depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	Bothnian Bay								0.80	0.72	50.00	2.47	-0.15			3.04	0.21	49.00	3.31	2.11																															0.05	0.03	50.00	0.13	0.01			0.07	0.03	51.00	0.17	0.02			6.96	0.66	53.00	8.00	5.16										0.15	0.12	46.00	0.61	0.06			34.98	4.27	52.00	43.44	26.70										17.42	1.22	20.00	19.80	15.80										7.78	0.23	48.00	8.26	6.78										18.88	1.10	53.00	21.10	15.77			0.17	0.05	51.00	0.43	0.08										7.18	0.73	46.00	8.28	5.19			3.06	0.22	53.00	3.47	2.11			0.82	0.72	51.00	2.47	-0.15		
0.00	2	Bothnian Bay								0.08	0.29	24.00	0.70	-0.18			3.02	0.18	25.00	3.36	2.48										0.00	0.19	19.00	0.60	-0.21			3.47	0.10	19.00	3.72	3.32										0.06	0.02	45.00	0.11	0.02			0.05	0.03	26.00	0.14	0.02			7.62	0.84	45.00	8.73	5.78										0.11	0.06	26.00	0.24	0.06			36.89	3.70	26.00	42.73	28.30										17.26	1.49	19.00	20.00	15.30										7.72	0.21	25.00	7.95	7.21										19.39	0.97	45.00	21.40	17.56			0.15	0.04	44.00	0.22	0.08										7.17	0.67	26.00	8.26	5.89			3.21	0.27	44.00	3.72	2.48			0.05	0.25	43.00	0.70	-0.21		
0.00	3	Bothnian Bay								0.01	0.25	26.00	0.76	-0.20			3.09	0.23	27.00	3.36	2.16										-0.16	0.03	18.00	-0.13	-0.26			3.46	0.09	18.00	3.60	3.31										0.05	0.02	45.00	0.12	0.02			0.05	0.01	31.00	0.09	0.02			8.00	0.57	48.00	9.29	6.33	8.71	7.04								0.19	0.12	31.00	0.65	0.07			34.55	4.22	47.00	42.40	28.00										17.45	1.12	17.00	19.80	16.30										7.73	0.23	28.00	8.07	7.00										20.13	1.60	47.00	26.70	17.00			0.16	0.03	44.00	0.28	0.11										8.02	0.62	31.00	9.80	6.49			3.23	0.26	45.00	3.60	2.16			-0.06	0.21	44.00	0.76	-0.26		
0.00	4	Bothnian Bay	6.78	1.68	23.00	10.00	3.50			0.34	0.42	44.00	1.72	-0.13			3.08	0.15	40.00	3.36	2.81																																																																																16.34	1.41	24.00	19.00	13.50										7.79	0.22	24.00	8.14	6.96										19.16	0.93	41.00	20.35	16.99			0.16	0.04	43.00	0.26	0.08																	3.11	0.17	44.00	3.56	2.81			0.34	0.42	44.00	1.72	-0.13		
0.00	5	Bothnian Bay	6.79	1.54	42.00	10.40	3.00			1.73	1.17	77.00	6.30	0.01			3.15	0.25	77.00	3.60	2.08										2.61	1.22	16.00	6.40	1.40			3.40	0.16	16.00	3.52	2.85			9.75	0.17	19.00	10.10	9.30			0.03	0.02	37.00	0.11	0.01			0.13	0.06	34.00	0.30	0.05			6.82	0.88	37.00	9.20	5.38										0.21	0.10	28.00	0.49	0.07			29.37	3.98	34.00	41.30	23.80										10.47	6.30	17.00	17.80	3.60										7.80	0.16	28.00	8.19	7.40										19.04	1.53	70.00	23.69	15.00			0.18	0.05	69.00	0.34	0.11			9.74	0.17	19.00	10.10	9.30			6.99	0.63	28.00	8.23	5.65			3.16	0.25	79.00	3.60	2.08	3.50	2.86	1.72	1.15	79.00	6.30	0.01	3.69	0.20
0.00	6	Bothnian Bay	5.71	1.48	52.00	8.80	3.00			5.45	2.06	93.00	10.20	1.74			3.05	0.31	76.00	3.54	2.16																	3.30	0.28	24.00	3.51	2.45			9.56	0.26	27.00	9.82	8.87			0.04	0.02	28.00	0.11	0.01			0.14	0.04	49.00	0.26	0.06			5.97	0.58	50.00	7.47	4.71										0.44	0.27	45.00	0.97	0.06			33.66	8.12	50.00	61.80	23.20										17.05	4.55	28.00	35.70	12.50										7.88	0.20	30.00	8.23	7.44										19.21	1.98	74.00	26.50	16.49			0.20	0.06	73.00	0.39	0.10			9.56	0.26	27.00	9.82	8.87			6.47	0.64	45.00	7.81	4.99			3.06	0.31	83.00	3.54	2.16			5.32	2.05	99.00	10.20	1.74	8.99	2.32
0.00	7	Bothnian Bay	4.60	0.66	21.00	6.10	3.50			13.58	2.38	41.00	17.78	8.46	16.71	10.32	2.79	0.23	38.00	3.16	2.15																																																																																16.13	4.01	23.00	24.90	11.90										7.99	0.25	21.00	8.32	7.37										17.03	1.57	40.00	21.49	14.35			0.20	0.06	40.00	0.49	0.12																	2.80	0.24	39.00	3.22	2.15			13.65	2.37	41.00	17.78	8.46	16.71	10.32
0.00	8	Bothnian Bay	5.55	1.24	43.00	8.00	3.00			14.91	1.58	63.00	18.11	11.99			2.76	0.27	59.00	3.27	2.00										14.51	2.26	21.00	15.90	5.11			3.07	0.28	21.00	3.46	2.51			7.05	0.13	21.00	7.42	6.87			0.03	0.02	45.00	0.09	0.01			0.18	0.04	46.00	0.27	0.09			1.81	0.91	46.00	4.18	0.05										0.41	0.12	46.00	0.65	0.14			28.40	6.79	44.00	48.40	12.50																								7.89	0.19	38.00	8.35	7.43										17.05	1.62	78.00	20.80	12.49			0.19	0.05	78.00	0.30	0.09			7.05	0.13	21.00	7.42	6.87			2.37	0.97	43.00	4.91	0.33			2.86	0.32	83.00	3.50	2.00			14.81	1.78	83.00	18.11	5.11		
0.00	9	Bothnian Bay	5.44	0.80	27.00	7.20	3.50			11.94	1.98	55.00	17.02	8.37	14.75	8.84	2.85	0.21	53.00	3.29	2.29																															0.02	0.01	18.00	0.05	0.01			0.24	0.07	18.00	0.39	0.12			3.28	1.02	18.00	5.24	1.74										0.49	0.22	18.00	0.99	0.19			30.85	4.55	18.00	42.00	23.40										15.57	2.33	20.00	21.10	11.70										7.79	0.21	24.00	8.08	7.42										17.47	1.34	52.00	22.69	15.42			0.18	0.05	52.00	0.37	0.08										4.01	1.04	18.00	5.98	2.23			2.87	0.22	55.00	3.31	2.29	3.25	2.51	11.94	1.98	55.00	17.02	8.37	14.75	8.84
0.00	10	Bothnian Bay	5.98	0.97	20.00	7.50	4.00			7.26	1.40	37.00	10.27	4.79			2.96	0.21	33.00	3.40	2.62																																																																																														7.77	0.25	21.00	8.23	6.98										18.02	1.09	32.00	20.42	15.84			0.17	0.03	32.00	0.24	0.11																	2.99	0.21	37.00	3.40	2.62			7.26	1.40	37.00	10.27	4.79		
