depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p
0.00	10	Bothnian Sea Finnish Coastal waters			0					11.45		1	11.45	11.45	11.45	11.45	5.61		1	5.61	5.61	5.61	5.61	6.58		1	6.58	6.58	6.58	6.58			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
5.00	10	Bothnian Sea Finnish Coastal waters			0					11.50		1	11.50	11.50	11.50	11.50	5.62		1	5.62	5.62	5.62	5.62	6.87		1	6.87	6.87	6.87	6.87			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	10	Bothnian Sea Finnish Coastal waters			0					11.44		1	11.44	11.44	11.44	11.44	5.61		1	5.61	5.61	5.61	5.61	7.03		1	7.03	7.03	7.03	7.03			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	10	Bothnian Sea Finnish Coastal waters			0					10.51		1	10.51	10.51	10.51	10.51	5.49		1	5.49	5.49	5.49	5.49	7.09		1	7.09	7.09	7.09	7.09			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
20.00	10	Bothnian Sea Finnish Coastal waters			0					10.14		1	10.14	10.14	10.14	10.14	5.45		1	5.45	5.45	5.45	5.45	7.09		1	7.09	7.09	7.09	7.09			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
30.00	10	Bothnian Sea Finnish Coastal waters			0					10.46		1	10.46	10.46	10.46	10.46	5.54		1	5.54	5.54	5.54	5.54	6.90		1	6.90	6.90	6.90	6.90			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
40.00	10	Bothnian Sea Finnish Coastal waters			0					7.99		1	7.99	7.99	7.99	7.99	5.60		1	5.60	5.60	5.60	5.60	7.07		1	7.07	7.07	7.07	7.07			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
50.00	10	Bothnian Sea Finnish Coastal waters			0					5.05		1	5.05	5.05	5.05	5.05	5.62		1	5.62	5.62	5.62	5.62	7.05		1	7.05	7.05	7.05	7.05			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
60.00	10	Bothnian Sea Finnish Coastal waters			0					3.81		1	3.81	3.81	3.81	3.81	5.78		1	5.78	5.78	5.78	5.78	7.02		1	7.02	7.02	7.02	7.02			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
70.00	10	Bothnian Sea Finnish Coastal waters			0					3.79		1	3.79	3.79	3.79	3.79	6.06		1	6.06	6.06	6.06	6.06	6.84		1	6.84	6.84	6.84	6.84			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
80.00	10	Bothnian Sea Finnish Coastal waters			0					3.64		1	3.64	3.64	3.64	3.64	6.15		1	6.15	6.15	6.15	6.15	6.62		1	6.62	6.62	6.62	6.62			0							0							0							0							0							0							0							0							0							0							0							0							0							0				
