depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	8	Gdansk Basin Polish Coastal waters			0					22.24		1	22.24	22.24	22.24	22.24	6.63		1	6.63	6.63	6.63	6.63			0							0					6.64		1	6.64	6.64	6.64	6.64	6.72		1	6.72	6.72	6.72	6.72	0.10		1	0.10	0.10	0.10	0.10	0.08		1	0.08	0.08	0.08	0.08			0					0.10		1	0.10	0.10	0.10	0.10	0.49		1	0.49	0.49	0.49	0.49	10.73		1	10.73	10.73	10.73	10.73	4.60		1	4.60	4.60	4.60	4.60			0							0							0							0					25.83		1	25.83	25.83	25.83	25.83	0.51		1	0.51	0.51	0.51	0.51
0.00	12	Gdansk Basin Polish Coastal waters			0					5.89		1	5.89	5.89	5.89	5.89	5.86		1	5.86	5.86	5.86	5.86			0					4.33		1	4.33	4.33	4.33	4.33	2.78		1	2.78	2.78	2.78	2.78	8.11		1	8.11	8.11	8.11	8.11	1.67		1	1.67	1.67	1.67	1.67	0.66		1	0.66	0.66	0.66	0.66			0					18.78		1	18.78	18.78	18.78	18.78			0					107.90		1	107.90	107.90	107.90	107.90			0							0							0					8.14		1	8.14	8.14	8.14	8.14	2.89		1	2.89	2.89	2.89	2.89			0							0				
5.00	8	Gdansk Basin Polish Coastal waters			0					22.27		1	22.27	22.27	22.27	22.27	6.55		1	6.55	6.55	6.55	6.55			0							0					6.85		1	6.85	6.85	6.85	6.85	6.83		1	6.83	6.83	6.83	6.83	0.11		1	0.11	0.11	0.11	0.11	0.07		1	0.07	0.07	0.07	0.07			0					0.10		1	0.10	0.10	0.10	0.10	0.21		1	0.21	0.21	0.21	0.21	7.10		1	7.10	7.10	7.10	7.10	4.40		1	4.40	4.40	4.40	4.40			0							0							0							0					24.80		1	24.80	24.80	24.80	24.80	0.53		1	0.53	0.53	0.53	0.53
5.00	12	Gdansk Basin Polish Coastal waters			0					6.85		1	6.85	6.85	6.85	6.85	6.79		1	6.79	6.79	6.79	6.79			0					6.84		1	6.84	6.84	6.84	6.84	6.74		1	6.74	6.74	6.74	6.74	7.72		1	7.72	7.72	7.72	7.72	0.58		1	0.58	0.58	0.58	0.58	0.20		1	0.20	0.20	0.20	0.20			0					18.78		1	18.78	18.78	18.78	18.78			0					26.50		1	26.50	26.50	26.50	26.50			0							0							0					8.08		1	8.08	8.08	8.08	8.08	1.79		1	1.79	1.79	1.79	1.79			0							0				
10.00	8	Gdansk Basin Polish Coastal waters			0					17.84		1	17.84	17.84	17.84	17.84	6.97		1	6.97	6.97	6.97	6.97			0							0					6.97		1	6.97	6.97	6.97	6.97	5.95		1	5.95	5.95	5.95	5.95	0.10		1	0.10	0.10	0.10	0.10	0.07		1	0.07	0.07	0.07	0.07			0					0.10		1	0.10	0.10	0.10	0.10	0.25		1	0.25	0.25	0.25	0.25	6.20		1	6.20	6.20	6.20	6.20	7.10		1	7.10	7.10	7.10	7.10			0							0							0							0					24.60		1	24.60	24.60	24.60	24.60	0.52		1	0.52	0.52	0.52	0.52
10.00	12	Gdansk Basin Polish Coastal waters			0					7.16		1	7.16	7.16	7.16	7.16	7.09		1	7.09	7.09	7.09	7.09			0					7.17		1	7.17	7.17	7.17	7.17	7.09		1	7.09	7.09	7.09	7.09	7.64		1	7.64	7.64	7.64	7.64	0.44		1	0.44	0.44	0.44	0.44	0.04		1	0.04	0.04	0.04	0.04	8.57		1	8.57	8.57	8.57	8.57	8.61		1	8.61	8.61	8.61	8.61			0					14.70		1	14.70	14.70	14.70	14.70			0							0							0					8.08		1	8.08	8.08	8.08	8.08	1.69		1	1.69	1.69	1.69	1.69			0							0				
15.00	8	Gdansk Basin Polish Coastal waters			0					12.63		1	12.63	12.63	12.63	12.63	7.19		1	7.19	7.19	7.19	7.19			0							0					7.17		1	7.17	7.17	7.17	7.17	5.42		1	5.42	5.42	5.42	5.42	0.10		1	0.10	0.10	0.10	0.10	0.05		1	0.05	0.05	0.05	0.05			0					0.10		1	0.10	0.10	0.10	0.10			0					7.50		1	7.50	7.50	7.50	7.50	3.20		1	3.20	3.20	3.20	3.20			0							0							0							0					19.00		1	19.00	19.00	19.00	19.00	0.42		1	0.42	0.42	0.42	0.42
15.00	12	Gdansk Basin Polish Coastal waters			0					7.26		1	7.26	7.26	7.26	7.26	7.14		1	7.14	7.14	7.14	7.14			0					7.25		1	7.25	7.25	7.25	7.25	7.14		1	7.14	7.14	7.14	7.14	7.61		1	7.61	7.61	7.61	7.61	0.40		1	0.40	0.40	0.40	0.40	0.02		1	0.02	0.02	0.02	0.02	6.77		1	6.77	6.77	6.77	6.77	6.79		1	6.79	6.79	6.79	6.79			0					12.80		1	12.80	12.80	12.80	12.80			0							0							0					8.09		1	8.09	8.09	8.09	8.09	1.68		1	1.68	1.68	1.68	1.68			0							0				
20.00	8	Gdansk Basin Polish Coastal waters			0					9.81		1	9.81	9.81	9.81	9.81	7.22		1	7.22	7.22	7.22	7.22			0							0					7.26		1	7.26	7.26	7.26	7.26	6.69		1	6.69	6.69	6.69	6.69	0.11		1	0.11	0.11	0.11	0.11	0.10		1	0.10	0.10	0.10	0.10			0					0.10		1	0.10	0.10	0.10	0.10	0.47		1	0.47	0.47	0.47	0.47	7.80		1	7.80	7.80	7.80	7.80	1.30		1	1.30	1.30	1.30	1.30			0							0							0							0					18.35		1	18.35	18.35	18.35	18.35	0.38		1	0.38	0.38	0.38	0.38
20.00	12	Gdansk Basin Polish Coastal waters			0					7.32		1	7.32	7.32	7.32	7.32	7.18		1	7.18	7.18	7.18	7.18			0					7.27		1	7.27	7.27	7.27	7.27	7.18		1	7.18	7.18	7.18	7.18	7.60		1	7.60	7.60	7.60	7.60	0.38		1	0.38	0.38	0.38	0.38	0.03		1	0.03	0.03	0.03	0.03	5.56		1	5.56	5.56	5.56	5.56	5.59		1	5.59	5.59	5.59	5.59			0					11.50		1	11.50	11.50	11.50	11.50			0							0							0					8.09		1	8.09	8.09	8.09	8.09	1.68		1	1.68	1.68	1.68	1.68			0							0				
