depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	2	Gdansk Basin																																																		0.63	0.11	16.00	0.79	0.42	0.75	0.44	0.15	0.05	16.00	0.28	0.04	0.24	0.10	4.36	1.03	16.00	5.79	2.80	5.68	2.90	4.51	1.05	16.00	5.91	2.84	5.82	3.03																																																									22.74	2.48	16.00	29.40	18.20	25.88	19.48	0.89	0.16	16.00	1.17	0.64	1.13	0.66																						7.43	0.12	16.00	7.62	7.21	7.62	7.28	3.11	1.13	16.00	5.34	0.85	4.72	1.29
5.00	2.5_7.5	2	Gdansk Basin																																											8.75	0.24	16.00	9.14	8.34			0.63	0.11	16.00	0.79	0.42			0.15	0.05	16.00	0.26	0.04			4.40	1.04	16.00	5.80	2.80			4.54	1.06	16.00	5.92	2.84																																																																									8.75	0.24	16.00	9.14	8.34			97.55	1.00	16.00	99.10	95.64										7.44	0.12	16.00	7.62	7.21			3.12	1.12	16.00	5.35	0.88		
10.00	7.5_12.5	2	Gdansk Basin																																											8.75	0.23	16.00	9.16	8.34	9.11	8.38	0.63	0.11	16.00	0.79	0.41	0.76	0.44	0.15	0.05	16.00	0.28	0.04	0.23	0.10	4.37	1.06	16.00	5.78	2.75	5.77	2.88	4.52	1.08	16.00	5.92	2.79	5.90	3.01	0.22	0.12	16.00	0.64	0.13	0.39	0.13																																																		22.76	3.16	16.00	31.80	18.70	27.60	19.23	0.87	0.15	16.00	1.08	0.55	1.06	0.66	8.75	0.23	16.00	9.16	8.34	9.11	8.38	97.58	0.88	16.00	99.67	96.06	98.66	96.44	4.69	1.12	16.00	6.08	2.79	6.00	3.20	7.44	0.12	16.00	7.62	7.21	7.62	7.27	3.12	1.12	16.00	5.34	0.88	4.72	1.29
15.00	12.5_17.5	2	Gdansk Basin																																											8.75	0.25	16.00	9.16	8.32	9.14	8.38	0.63	0.11	16.00	0.79	0.41	0.77	0.45	0.15	0.05	16.00	0.27	0.04	0.23	0.09	4.32	1.02	16.00	5.75	2.73	5.75	2.87	4.47	1.03	16.00	5.89	2.77	5.87	2.99																																																									22.62	2.36	16.00	28.50	19.50	26.02	19.95	0.91	0.16	16.00	1.13	0.61	1.11	0.66	8.75	0.25	16.00	9.16	8.32	9.14	8.38	97.55	0.76	16.00	99.13	96.28	98.40	96.39								7.44	0.12	16.00	7.63	7.21	7.62	7.27	3.13	1.10	16.00	5.35	1.06	4.73	1.34
20.00	17.5_22.5	2	Gdansk Basin																																											8.74	0.22	16.00	9.10	8.33	9.05	8.38	0.63	0.12	16.00	0.79	0.41	0.78	0.44	0.14	0.05	16.00	0.27	0.04	0.23	0.09	4.26	0.97	16.00	5.67	2.78	5.65	2.88	4.40	0.99	16.00	5.81	2.82	5.76	3.01																																																									22.20	1.88	16.00	25.10	18.90	25.02	19.35	0.87	0.17	16.00	1.16	0.53	1.11	0.65	8.74	0.22	16.00	9.10	8.33	9.05	8.38	97.47	0.78	16.00	99.13	95.96	98.47	96.29								7.44	0.12	16.00	7.65	7.21	7.63	7.27	3.15	1.09	16.00	5.34	1.18	4.75	1.38
30.00	27.5_35.0	2	Gdansk Basin																																																		0.63	0.11	16.00	0.79	0.42	0.77	0.45	0.14	0.05	16.00	0.26	0.04	0.22	0.09	4.22	0.97	16.00	5.71	2.77	5.62	2.86	4.36	0.99	16.00	5.86	2.81	5.75	2.99	0.23	0.12	16.00	0.62	0.12	0.41	0.13																																																		22.18	1.82	16.00	25.40	19.60	25.02	19.82	0.87	0.18	16.00	1.26	0.54	1.19	0.64															4.54	1.04	16.00	5.95	2.81	5.89	3.20	7.45	0.12	16.00	7.66	7.21	7.63	7.27	3.17	1.07	16.00	5.35	1.36	4.77	1.44
40.00	35.0_45.0	2	Gdansk Basin																																											8.69	0.22	16.00	9.10	8.32	8.97	8.35	0.64	0.11	16.00	0.83	0.42	0.79	0.45	0.15	0.06	16.00	0.29	0.04	0.23	0.09	4.20	0.98	16.00	5.72	2.79	5.63	3.04	4.35	1.00	16.00	5.86	2.83	5.78	3.17	0.21	0.12	16.00	0.60	0.08	0.37	0.10																																																		22.21	1.78	16.00	25.50	19.90	25.50	19.90	0.87	0.16	16.00	1.15	0.54	1.08	0.64	8.69	0.22	16.00	9.10	8.32	8.97	8.35	97.18	0.92	16.00	98.56	95.72	98.34	95.77	4.52	1.04	16.00	5.94	2.83	5.88	3.19	7.45	0.12	16.00	7.69	7.21	7.64	7.28	3.21	1.01	16.00	5.35	1.50	4.76	1.79
50.00	45.0_55.0	2	Gdansk Basin																																											8.65	0.31	16.00	9.00	7.86	8.97	8.16	0.64	0.13	16.00	0.91	0.42	0.82	0.45	0.17	0.14	16.00	0.66	0.03	0.38	0.07	4.34	1.14	16.00	7.06	2.84	5.95	3.10	4.51	1.24	16.00	7.72	2.87	6.23	3.22	0.23	0.12	16.00	0.56	0.05	0.38	0.09																																																		22.26	1.55	16.00	24.00	19.40	24.00	19.55	0.88	0.17	16.00	1.14	0.56	1.12	0.63	8.65	0.31	16.00	9.00	7.86	8.97	8.16	96.73	2.13	16.00	98.51	90.06	98.39	93.39	4.69	1.29	16.00	7.98	2.87	6.43	3.22	7.49	0.17	16.00	7.89	7.21	7.76	7.28	3.23	1.04	16.00	5.35	1.60	4.83	1.90
60.00	55.0_65.0	2	Gdansk Basin																																											8.43	0.64	16.00	9.05	6.42	8.97	7.38								0.17	0.14	16.00	0.64	0.03	0.39	0.04	4.37	1.17	16.00	6.87	3.17	6.27	3.22	4.54	1.26	16.00	7.51	3.20	6.50	3.27	0.19	0.08	16.00	0.37	0.05	0.33	0.09																																																		21.96	1.71	16.00	25.40	19.50	24.65	19.57	0.92	0.22	16.00	1.51	0.62	1.23	0.67	8.43	0.64	16.00	9.05	6.42	8.97	7.38	94.56	6.23	16.00	98.92	74.59	98.51	83.62	4.68	1.28	16.00	7.65	3.20	6.53	3.35	7.58	0.24	16.00	8.30	7.21	7.89	7.31	3.34	0.97	16.00	5.38	1.96	4.73	2.17
70.00	65.0_75.0	2	Gdansk Basin																																											6.66	2.49	16.00	8.99	2.18	8.89	2.32	1.06	0.62	16.00	2.31	0.42	2.12	0.45	0.13	0.15	16.00	0.58	0.02	0.37	0.03	5.31	1.48	16.00	8.35	3.38	7.99	3.67	5.44	1.51	16.00	8.39	3.40	8.04	3.71	0.21	0.09	16.00	0.48	0.08	0.34	0.11																																																		22.77	3.17	16.00	31.30	18.80	27.55	19.10	1.26	0.64	16.00	2.56	0.53	2.47	0.64	6.66	2.49	16.00	8.99	2.18	8.89	2.32	75.83	27.17	16.00	98.29	26.59	98.19	27.72	5.60	1.52	16.00	8.39	3.40	8.13	3.71	8.09	0.80	16.00	9.93	7.21	9.73	7.33	4.14	1.21	16.00	6.12	2.39	5.92	2.46
