depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	17.79	0.10	3	17.89	17.68	17.88	17.69	15.07	0.46	3	15.59	14.68	15.52	14.71			0					17.79	0.10	3	17.89	17.69	17.88	17.70	15.18	0.40	3	15.64	14.93	15.57	14.93	5.97	0.04	3	6.02	5.93	6.01	5.93	0.17	0.04	3	0.20	0.13	0.20	0.14	0.04	0.01	3	0.05	0.04	0.05	0.04			0					0.10	0.00	3	0.10	0.10	0.10	0.10	0.21	0.04	3	0.25	0.17	0.25	0.17	7.03	1.27	3	8.50	6.20	8.29	6.22			0							0							0							0							0					16.57	0.38	3	17.00	16.30	16.94	16.31	0.54	0.03	3	0.58	0.52	0.57	0.52
5.00	3	Great Belt			0							0							0							0							0							0							0							0							0							0							0							0							0					12.80		1	12.80	12.80					0							0							0					1.98	0.06	2	2.02	1.94	2.01	1.94			0							0				
5.00	4	Great Belt			0							0							0							0							0					9.80		1	9.80	9.80	9.80	9.80			0							0							0							0							0							0							0							0							0							0							0					1.74		1	1.74	1.74	1.74	1.74			0							0				
5.00	7	Great Belt			0							0							0							0							0							0							0							0							0							0							0							0							0					0.60		1	0.60	0.60	0.60	0.60			0							0							0					1.96		1	1.96	1.96	1.96	1.96			0							0				
5.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	17.80	0.11	3	17.91	17.69	17.90	17.70	15.09	0.46	3	15.59	14.69	15.53	14.72			0					17.79	0.10	3	17.90	17.70	17.89	17.71	15.18	0.39	3	15.63	14.93	15.57	14.93	5.97	0.03	3	6.01	5.95	6.00	5.95	0.17	0.04	3	0.21	0.13	0.21	0.14	0.04	0.01	3	0.05	0.04	0.05	0.04	0.10		1	0.10	0.10			0.11	0.01	3	0.12	0.10	0.12	0.10	0.21	0.04	3	0.25	0.16	0.25	0.17	7.20	1.56	3	9.00	6.20	8.74	6.22			0							0							0							0							0					17.50	0.35	3	17.70	17.10	17.70	17.16	0.61	0.08	3	0.70	0.55	0.69	0.55
10.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	16.61	1.21	3	17.74	15.33	17.64	15.47	18.96	3.77	3	23.14	15.81	22.62	16.02			0					15.84	1.03	3	16.50	14.66	16.49	14.83	20.58	3.89	3	24.90	17.34	24.36	17.55	4.82	0.64	3	5.49	4.21	5.42	4.26	0.33	0.18	3	0.52	0.16	0.50	0.17	0.04	0.02	3	0.06	0.02	0.06	0.02			0					0.10	0.00	3	0.10	0.10	0.10	0.10	0.18	0.03	3	0.21	0.15	0.21	0.15	10.83	2.56	3	12.60	7.90	12.54	8.31			0							0							0							0							0					16.53	2.15	3	18.60	14.30	18.41	14.54	0.73	0.03	3	0.75	0.70	0.75	0.70
15.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	13.39	0.94	3	14.47	12.77	14.32	12.79	27.11	2.35	3	28.70	24.42	28.65	24.80			0					13.52	1.12	3	14.44	12.28	14.38	12.44	26.12	2.58	3	29.09	24.42	28.67	24.46	3.77	0.40	3	4.20	3.41	4.15	3.44	0.43	0.11	3	0.54	0.32	0.53	0.33	0.07	0.04	3	0.11	0.04	0.10	0.04	0.24		1	0.24	0.24			0.18	0.14	3	0.35	0.10	0.33	0.10	0.22	0.01	3	0.23	0.21	0.23	0.21	15.60	2.43	3	17.20	12.80	17.16	13.20			0							0							0							0							0					13.53	0.21	3	13.70	13.30	13.69	13.33	0.78	0.08	3	0.84	0.69	0.84	0.70
20.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	12.38	0.46	3	12.80	11.88	12.77	11.94	28.91	0.94	3	29.84	27.95	29.75	28.05			0					12.21	0.51	3	12.59	11.62	12.57	11.70	28.90	1.09	3	29.98	27.80	29.87	27.91	3.21	0.18	3	3.42	3.09	3.39	3.09	0.60	0.10	3	0.70	0.52	0.69	0.52	0.14	0.06	3	0.21	0.09	0.20	0.09	0.84	0.94	3	1.93	0.20	1.77	0.22	0.97	1.01	3	2.13	0.28	1.97	0.30	0.41	0.06	3	0.47	0.36	0.47	0.37	19.42	1.58	3	20.70	17.65	20.62	17.88			0							0							0							0							0					12.27	1.01	3	12.90	11.10	12.89	11.27	0.81	0.09	3	0.91	0.74	0.89	0.74
30.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	11.87	0.52	3	12.27	11.29	12.25	11.37	29.78	0.75	3	30.64	29.27	30.52	29.29			0					11.75	0.43	3	12.04	11.25	12.03	11.32	29.96	0.62	3	30.65	29.46	30.56	29.49	3.15	0.20	3	3.36	2.96	3.34	2.98	0.64	0.08	3	0.73	0.58	0.72	0.58	0.19	0.04	3	0.23	0.16	0.23	0.16	1.43	1.11	3	2.72	0.79	2.53	0.79	1.63	1.15	3	2.95	0.95	2.75	0.95	0.59	0.04	3	0.63	0.54	0.63	0.55	20.07	1.52	3	21.70	18.70	21.51	18.81			0							0							0							0							0					13.97	1.00	3	15.10	13.20	14.95	13.24	0.96	0.12	3	1.08	0.85	1.07	0.86
40.00	8	Great Belt	6.00	0.00	3	6.00	6.00	6.00	6.00	10.74		1	10.74	10.74			31.43		1	31.43	31.43					0					11.57	0.77	3	12.05	10.69	12.04	10.82	30.26	1.09	3	31.50	29.46	31.33	29.50	3.15	0.16	3	3.29	2.98	3.28	3.00	0.86		1	0.86	0.86			0.25		1	0.25	0.25			3.83		1	3.83	3.83			4.08		1	4.08	4.08			0.70		1	0.70	0.70			19.50		1	19.50	19.50					0							0							0							0							0					14.20		1	14.20	14.20			0.81		1	0.81	0.81		
