depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	Gulf of Finland			0					4.32		1	4.32	4.32	4.32	4.32	6.19		1	6.19	6.19	6.19	6.19	8.20		1	8.20	8.20	8.20	8.20			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	2	Gulf of Finland			0					1.19	0.40	2	1.47	0.90	1.44	0.93	5.74	0.27	2	5.93	5.55	5.91	5.57	9.25	0.07	2	9.30	9.20	9.29	9.21			0							0							0					1.15	0.14	2	1.25	1.05	1.24	1.06	0.10	0.02	2	0.11	0.08	0.11	0.08	6.97	0.16	2	7.08	6.86	7.07	6.87	7.07	0.13	2	7.16	6.97	7.15	6.98	0.20	0.00	2	0.20	0.20	0.20	0.20	20.55	1.63	2	21.70	19.40	21.59	19.52	0.45	0.07	2	0.50	0.40	0.49	0.41			0							0							0							0					26.40	1.13	2	27.20	25.60	27.12	25.68	1.66	0.18	2	1.79	1.53	1.78	1.54
0.00	3	Gulf of Finland			0					1.21		1	1.21	1.21			5.79		1	5.79	5.79			9.06		1	9.06	9.06					0							0							0					0.96		1	0.96	0.96			0.14		1	0.14	0.14			6.68		1	6.68	6.68			6.82		1	6.82	6.82			0.20		1	0.20	0.20			20.10		1	20.10	20.10			3.50		1	3.50	3.50					0							0							0							0					25.90		1	25.90	25.90			1.40		1	1.40	1.40		
0.00	4	Gulf of Finland			0					2.90	0.63	2	3.35	2.46	3.31	2.50	5.43	0.36	2	5.69	5.18	5.66	5.21	10.10	0.14	2	10.20	10.00	10.19	10.01			0							0							0					0.57	0.30	2	0.79	0.36	0.77	0.38	0.03	0.00	2	0.03	0.03	0.03	0.03	0.10	0.00	2	0.10	0.10	0.10	0.10	0.10	0.00	2	0.10	0.10	0.10	0.10	0.20	0.00	2	0.20	0.20	0.20	0.20	15.65	6.15	2	20.00	11.30	19.57	11.73	12.85	7.57	2	18.20	7.50	17.66	8.04			0							0							0							0					25.20	0.71	2	25.70	24.70	25.65	24.75	1.41	0.17	2	1.53	1.29	1.52	1.30
0.00	5	Gulf of Finland			0					4.55		1	4.55	4.55	4.55	4.55	5.36		1	5.36	5.36	5.36	5.36	10.10		1	10.10	10.10	10.10	10.10			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	6	Gulf of Finland	4.50	0.71	2	5.00	4.00	4.95	4.05	11.34	1.38	2	12.31	10.36	12.21	10.46	5.11	0.54	2	5.49	4.73	5.45	4.77	8.10	0.57	2	8.50	7.70	8.46	7.74			0							0							0					0.50	0.54	2	0.88	0.12	0.84	0.16	0.05	0.01	2	0.06	0.04	0.06	0.04	0.10	0.00	2	0.10	0.10	0.10	0.10	0.11	0.01	2	0.12	0.10	0.12	0.10	0.20		1	0.20	0.20			12.75	9.69	2	19.60	5.90	18.91	6.58	4.45	0.21	2	4.60	4.30	4.58	4.32			0							0							0							0					25.25	1.06	2	26.00	24.50	25.93	24.57	1.27	0.64	2	1.73	0.82	1.68	0.86
0.00	7	Gulf of Finland	3.00		1	3.00	3.00			15.90	1.28	3	17.20	14.64	17.07	14.76	5.44	0.17	3	5.61	5.27	5.60	5.29	7.92	0.68	3	8.56	7.20	8.50	7.28			0							0					7.34		1	7.34	7.34			0.11	0.03	2	0.13	0.09			0.04	0.02	2	0.06	0.03			0.10	0.00	2	0.10	0.10			0.10	0.00	2	0.10	0.10			0.20	0.00	2	0.20	0.20			9.00	0.71	2	9.50	8.50			4.30	0.42	2	4.60	4.00					0							0							0							0					27.90	0.85	2	28.50	27.30			0.95	0.08	2	1.01	0.90		
0.00	8	Gulf of Finland			0					17.82		1	17.82	17.82	17.82	17.82	5.51		1	5.51	5.51	5.51	5.51	6.51		1	6.51	6.51	6.51	6.51			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	9	Gulf of Finland	5.00		1	5.00	5.00			15.88	0.74	4	16.37	14.78	16.34	14.99	5.75	0.32	4	6.01	5.29	6.00	5.36	6.58	0.05	4	6.60	6.50	6.60	6.51	16.30		1	16.30	16.30					0					6.58	0.22	2	6.73	6.42			0.16	0.04	3	0.19	0.12			0.04	0.01	3	0.05	0.03			0.10	0.00	3	0.10	0.10			0.10	0.00	3	0.10	0.10			0.20	0.00	3	0.20	0.20			10.70	1.92	3	12.00	8.50			4.90	1.23	3	6.30	4.00					0							0					8.18		1	8.18	8.18					0					25.17	1.07	3	26.40	24.50			0.96	0.35	3	1.35	0.69		
0.00	10	Gulf of Finland	6.00	1.41	2	7.00	5.00			12.37	0.05	2	12.40	12.33			5.80	0.38	2	6.07	5.54			7.26	0.37	2	7.52	7.00					0					5.56		1	5.56	5.56			7.10		1	7.10	7.10			0.38	0.13	3	0.53	0.27	0.51	0.28	0.15	0.09	3	0.25	0.07	0.24	0.08	1.14	0.93	3	1.99	0.15	1.92	0.26	1.83	0.42	2	2.13	1.54			0.96	1.13	3	2.26	0.20	2.08	0.22	11.17	2.20	3	13.30	8.90	13.10	9.14	3.63	1.53	3	5.30	2.30	5.10	2.40			0							0							0							0					25.83	1.24	3	26.60	24.40	26.59	24.61	1.13	0.24	3	1.29	0.86	1.29	0.90
