depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
0.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
0.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
0.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
0.00	10	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
0.00	11	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	10	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
5.00	11	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	10	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
10.00	11	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	10	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
15.00	11	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	10	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
20.00	11	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
25.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
25.00	9	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
30.00	2	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
30.00	6	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
30.00	8	Kattegat Danish Coastal waters, including Limfjord																																																																																																																																																																								
