depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	1	Kattegat	7.12	2.04	66.00	12.50	2.00			3.45	1.71	504.00	7.69	-0.81			24.09	4.64	487.00	33.44	10.77			7.52	0.64	233.00	9.46	5.35			3.12	1.81	330.00	7.68	-0.68			23.23	4.69	342.00	33.10	8.82			7.91	0.63	414.00	9.70	6.66			0.59	0.14	425.00	1.06	0.12			0.35	0.20	412.00	1.52	0.02			5.75	2.16	415.00	13.66	0.25			6.00	2.24	409.00	14.09	0.10			0.53	0.39	373.00	2.57	0.05			9.70	3.25	411.00	20.60	0.50			2.09	2.78	176.00	20.20	0.30																	8.16	0.07	48.00	8.37	8.08			7.91	0.06	39.00	8.09	7.83			2.05	0.09	42.00	2.26	1.91			20.28	2.90	396.00	35.00	13.80			0.93	0.19	393.00	1.58	0.52			7.83	0.65	486.00	9.70	5.35			98.29	3.62	470.00	123.25	68.58			6.41	2.39	373.00	15.73	0.18			23.96	4.69	543.00	33.44	8.82			3.37	1.75	548.00	7.69	-0.81		
0.00	0_2.5	2	Kattegat	6.40	2.27	68.00	11.50	3.00			2.34	1.54	287.00	6.16	-1.13			22.66	4.01	266.00	33.19	12.67			8.14	0.66	107.00	9.47	5.89			2.05	1.29	184.00	5.05	-1.08			21.92	4.19	203.00	33.74	9.48			8.43	0.60	231.00	9.79	7.02			0.49	0.22	210.00	0.97	0.02			0.29	0.17	224.00	0.81	0.02			5.76	3.40	220.00	14.18	0.10			6.39	3.51	179.00	14.49	0.10			0.39	0.28	180.00	1.52	0.05			9.05	4.83	232.00	23.10	0.10			3.90	4.14	117.00	22.30	0.10																	8.19	0.08	43.00	8.38	8.08			7.93	0.07	38.00	8.12	7.84			2.00	0.09	49.00	2.18	1.80			21.68	4.34	182.00	40.70	12.10			0.91	0.19	183.00	1.61	0.42			8.36	0.64	271.00	9.79	5.89			99.89	4.39	266.00	113.09	81.69			5.61	3.35	179.00	14.49	0.10			22.52	4.11	367.00	33.74	9.48			2.24	1.47	378.00	6.16	-1.13		
0.00	0_2.5	3	Kattegat	6.60	2.31	63.00	11.75	2.00			3.24	1.33	104.00	5.71	-0.07			20.10	4.03	92.00	31.94	10.55			8.23	0.56	37.00	9.50	7.15			2.96	1.36	94.00	4.65	0.08			20.64	4.30	90.00	32.11	9.92			8.65	0.61	117.00	10.30	7.45			0.15	0.12	116.00	0.65	0.04			0.11	0.12	109.00	0.64	0.02			2.48	4.27	83.00	28.88	0.07			2.19	3.96	98.00	29.52	0.10			0.24	0.21	106.00	1.16	0.03			4.00	3.38	116.00	12.80	0.10			5.31	4.07	108.00	17.80	0.20			5.25	1.87	20.00	7.70	1.80										8.34	0.17	58.00	8.80	8.14			8.03	0.08	42.00	8.23	7.90			1.99	0.09	52.00	2.20	1.83			20.30	5.43	114.00	50.00	10.00			0.69	0.17	113.00	1.14	0.36			8.64	0.61	119.00	10.30	7.45			105.13	4.46	115.00	120.24	94.03			2.09	4.00	106.00	30.62	0.07			20.49	4.11	119.00	31.94	10.55			3.08	1.39	123.00	5.71	-0.07	4.69	0.43
0.00	0_2.5	4	Kattegat	7.75	1.64	73.00	11.00	3.00			6.51	1.59	104.00	9.99	1.86			19.41	3.68	83.00	31.10	11.35			7.67	0.31	42.00	8.20	7.09			6.24	1.44	113.00	9.18	2.08			19.15	3.98	116.00	30.39	10.21			8.00	0.45	111.00	9.80	7.26			0.08	0.06	122.00	0.52	0.02			0.04	0.04	114.00	0.25	0.02			1.22	2.09	59.00	10.63	0.07			0.67	1.64	109.00	10.88	0.07			0.29	0.25	104.00	1.34	0.05			1.90	1.72	120.00	8.40	0.10			1.80	1.24	115.00	7.20	0.20																	8.25	0.07	59.00	8.39	8.12			8.04	0.07	53.00	8.17	7.89			1.94	0.10	57.00	2.17	1.74			18.64	3.95	116.00	38.60	10.60			0.53	0.19	116.00	1.58	0.13			7.99	0.45	116.00	9.80	7.26			103.87	4.04	114.00	122.89	94.32			1.05	2.13	104.00	12.60	0.07			19.36	4.01	145.00	31.10	10.21			6.40	1.47	155.00	9.99	1.86		
0.00	0_2.5	5	Kattegat	7.85	1.54	101.00	13.00	4.50			10.43	2.09	142.00	18.36	7.24			18.23	3.23	121.00	29.12	9.59			6.44	0.92	40.00	7.30	3.58			10.33	1.59	129.00	14.78	7.70			18.16	3.54	129.00	29.56	9.55			7.33	0.51	131.00	9.36	5.13			0.06	0.05	146.00	0.57	0.02			0.03	0.02	128.00	0.14	0.02			0.24	0.32	72.00	2.21	0.10			0.26	0.43	107.00	2.86	0.07			0.21	0.17	101.00	0.96	0.05			2.06	1.56	140.00	9.10	0.10			1.25	0.67	140.00	4.96	0.30																	8.21	0.07	47.00	8.35	7.95			8.07	0.06	39.00	8.18	7.98			1.89	0.08	43.00	2.03	1.75			17.19	4.28	124.00	46.40	10.20			0.45	0.14	123.00	0.77	0.06			7.17	0.77	143.00	9.36	3.58			102.65	9.22	142.00	127.08	53.65			0.38	0.40	101.00	3.21	0.10			18.24	3.35	185.00	29.56	9.59			10.27	1.89	192.00	18.36	7.60		
0.00	0_2.5	6	Kattegat	7.46	1.59	98.00	11.50	4.00			14.95	1.79	115.00	20.14	12.07			19.85	5.18	105.00	32.00	10.93			6.27	0.37	41.00	6.93	5.09			15.14	1.87	96.00	20.16	11.60			18.60	4.04	103.00	29.78	10.56			6.70	0.34	120.00	8.19	6.18			0.07	0.04	124.00	0.26	0.02			0.03	0.02	113.00	0.14	0.02			0.21	0.34	55.00	1.58	0.07			0.18	0.28	88.00	1.79	0.07			0.23	0.32	113.00	3.03	0.05			2.24	1.95	124.00	9.80	0.10			1.19	0.71	116.00	4.37	0.20			4.50	1.44	16.00	6.10	1.70										8.27	0.08	53.00	8.47	8.14			8.14	0.06	43.00	8.29	8.04			1.94	0.09	48.00	2.23	1.75			17.53	4.55	123.00	40.00	11.70			0.46	0.17	123.00	1.10	0.10			6.63	0.38	132.00	8.19	5.94			104.73	4.15	129.00	124.92	97.16			0.34	0.41	113.00	3.13	0.07			19.74	4.93	143.00	32.00	10.93			14.87	1.80	146.00	20.14	11.60		
0.00	0_2.5	7	Kattegat	7.79	1.80	78.00	13.20	4.00			18.08	1.61	89.00	21.20	15.29			19.20	4.16	84.00	28.13	2.00			5.94	0.31	35.00	6.71	5.28			17.93	1.83	79.00	21.27	14.09			18.87	4.35	83.00	29.52	2.00			6.19	0.31	97.00	7.10	5.73			0.07	0.04	100.00	0.27	0.02			0.03	0.02	91.00	0.13	0.02			0.17	0.13	30.00	0.64	0.07			0.12	0.10	87.00	0.79	0.07			0.17	0.14	90.00	1.17	0.05			1.26	1.57	100.00	7.30	0.10			1.05	0.66	95.00	3.90	0.20																	8.25	0.06	48.00	8.40	8.13			8.18	0.06	41.00	8.32	8.04			1.97	0.09	49.00	2.19	1.82			17.34	4.43	94.00	38.60	11.80			0.43	0.15	94.00	0.74	0.10			6.18	0.32	100.00	7.10	5.35			103.19	4.04	97.00	115.38	92.55			0.23	0.20	90.00	1.37	0.07			19.24	4.32	105.00	29.52	2.00			17.80	1.73	108.00	21.20	14.09	20.43	15.23
0.00	0_2.5	8	Kattegat	8.28	1.68	84.00	12.00	5.00			18.18	1.29	289.00	22.40	15.03			20.61	4.37	267.00	32.98	10.89			5.63	0.44	191.00	6.20	3.38			18.52	1.69	115.00	23.40	15.01			18.68	3.08	127.00	28.17	10.71			6.03	0.33	160.00	7.16	4.48			0.08	0.06	144.00	0.36	0.02			0.03	0.02	134.00	0.14	0.02			0.16	0.17	39.00	0.79	0.07			0.14	0.15	125.00	1.14	0.07			0.21	0.14	123.00	0.89	0.05			1.58	1.57	142.00	8.60	0.10			1.16	0.71	124.00	4.93	0.10																	8.26	0.06	45.00	8.42	8.11			8.19	0.07	39.00	8.37	8.06			1.94	0.05	46.00	2.04	1.85			17.72	2.79	138.00	28.57	12.50			0.48	0.17	137.00	0.93	0.13			5.82	0.47	297.00	7.16	3.38			98.67	7.56	291.00	123.24	57.89			0.29	0.24	123.00	1.62	0.10			20.36	4.26	308.00	32.98	10.71			18.19	1.33	309.00	23.40	15.03		
0.00	0_2.5	9	Kattegat	8.85	1.90	158.00	15.00	5.00			16.25	1.39	447.00	21.60	12.67			21.16	4.10	412.00	32.53	8.59			5.79	0.32	146.00	6.61	4.41			15.62	1.43	217.00	19.20	11.51			20.32	3.85	215.00	32.52	9.73			6.22	0.38	249.00	8.50	5.41			0.10	0.07	250.00	0.48	0.02			0.03	0.02	240.00	0.15	0.02			0.13	0.13	97.00	1.16	0.07			0.13	0.16	193.00	1.31	0.07			0.21	0.14	182.00	0.69	0.05			2.55	2.50	250.00	14.80	0.17			1.59	0.97	131.00	5.90	0.10																	8.23	0.06	55.00	8.34	8.03			8.13	0.07	44.00	8.24	7.89			1.98	0.09	50.00	2.24	1.84			17.18	3.63	191.00	47.90	10.30			0.54	0.14	191.00	0.94	0.06			6.09	0.43	330.00	8.50	4.41			99.38	5.54	325.00	132.60	67.98			0.28	0.17	182.00	0.80	0.07			21.00	4.09	486.00	32.53	8.59			16.09	1.48	507.00	21.60	11.51		
0.00	0_2.5	10	Kattegat	7.45	1.72	55.00	11.00	0.00			11.78	1.56	97.00	14.33	8.06			21.46	3.89	89.00	32.40	13.55			6.32	0.42	38.00	7.14	5.30			11.28	1.73	95.00	14.40	8.01			20.71	3.87	94.00	32.23	11.60			6.70	0.44	117.00	8.86	5.20			0.18	0.11	115.00	0.76	0.02			0.05	0.06	107.00	0.32	0.02			0.48	0.81	61.00	4.79	0.07			0.31	0.54	95.00	3.66	0.07			0.24	0.19	103.00	1.12	0.05			3.94	2.83	118.00	15.20	0.10			2.84	1.58	96.00	8.70	0.30																	8.20	0.05	46.00	8.33	7.97			8.05	0.06	39.00	8.18	7.83			2.00	0.10	46.00	2.21	1.81			17.77	3.84	113.00	37.90	12.10			0.66	0.19	113.00	1.34	0.19			6.68	0.46	120.00	8.86	5.20			99.29	4.91	116.00	133.77	89.98			0.49	0.67	103.00	4.56	0.10			21.03	3.87	124.00	32.40	11.63			11.55	1.67	126.00	14.40	8.01		
