depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	North Sea			0					6.81	0.40	5	7.34	6.46	7.30	6.47	34.93	0.05	5	34.99	34.87	34.99	34.87	6.40	0.00	5	6.40	6.40	6.40	6.40			0							0					6.78	0.05	2	6.81	6.74			0.55	0.04	2	0.57	0.52			0.09	0.09	2	0.15	0.03			5.09	2.41	2	6.80	3.39			5.18	2.33	2	6.83	3.54			0.20	0.00	2	0.20	0.20			2.70	0.42	2	3.00	2.40			0.45	0.07	2	0.50	0.40					0							0							0							0					13.65	0.35	2	13.90	13.40			0.73	0.01	2	0.74	0.72		
0.00	2	North Sea	2.00		1	2.00	2.00			6.45	0.31	8	6.74	5.95			34.96	0.15	8	35.14	34.78					0					5.63	0.81	22	6.71	3.69			34.72	0.43	20	35.18	33.41			7.00	0.13	9	7.22	6.82			0.60	0.05	9	0.68	0.52			0.11	0.12	9	0.41	0.03			6.52	2.66	9	11.35	3.83			6.92	2.13	5	8.65	3.86			0.24	0.14	6	0.44	0.07			4.29	1.35	9	7.80	3.50					0							0							0							0							0					14.91	2.44	9	19.70	10.90			0.76	0.02	5	0.78	0.73		
0.00	3	North Sea			0					5.27	0.56	7	5.89	4.38			32.67	0.82	2	33.26	32.09					0					1.67	1.91	2	3.02	0.32			33.26	1.95	11	34.96	29.17			7.27	0.34	11	8.10	6.94			0.77	0.23	11	1.29	0.55			0.51	0.58	11	1.48	0.08			20.14	16.18	11	58.95	5.63			25.72	17.00	8	60.42	8.25			1.07	1.17	11	3.06	0.02			9.53	7.50	10	24.40	2.60			0.68	0.58	6	1.65	0.10					0							0							0							0					31.25	21.30	11	77.20	11.00			1.10	0.27	11	1.67	0.80		
0.00	4	North Sea			0					5.85	0.44	10	6.54	5.26			33.76	0.47	4	34.08	33.06					0							0					33.70	0.87	15	34.70	32.07			7.50	0.30	13	8.07	7.16			0.40	0.28	15	0.79	0.06			0.16	0.14	15	0.43	0.02			11.31	13.11	15	36.01	0.10			14.94	13.93	11	36.42	0.80			0.38	0.27	15	1.03	0.03			3.83	3.76	15	10.00	0.15			4.08	3.60	11	10.20	1.10					0							0							0							0					21.66	13.08	15	46.60	8.10			0.63	0.12	13	0.82	0.44		
0.00	5	North Sea	9.21	3.33	13	15.00	2.50			9.22	0.41	8	9.80	8.62					0							0					8.34	0.75	12	9.33	6.87			33.46	0.69	20	34.67	32.40	34.43	32.46	7.43	0.69	20	8.86	6.35	8.54	6.79	0.11	0.15	20	0.70	0.02	0.20	0.02	0.09	0.11	20	0.45	0.02	0.34	0.02	5.01	6.88	19	21.87	0.10			10.58	7.59	8	22.32	1.90			0.36	0.24	19	1.01	0.12			0.88	0.99	20	4.50	0.20	2.03	0.20	2.45	2.76	20	12.05	0.29	6.92	0.57			0							0							0							0					16.28	6.23	20	32.90	8.20	28.34	8.68	0.57	0.15	20	1.05	0.39	0.79	0.41
0.00	6	North Sea			0							0							0							0					10.41	0.16	2	10.52	10.29			33.47	1.15	4	34.59	32.14	34.54	32.26	6.92	0.41	4	7.54	6.65	7.43	6.66	0.08	0.05	4	0.14	0.03	0.13	0.03	0.23	0.24	4	0.53	0.02	0.50	0.02	6.94	7.33	4	13.55	0.10	13.47	0.25			0					0.45	0.46	4	0.93	0.02	0.90	0.03	0.23	0.10	4	0.30	0.10	0.30	0.12			0							0							0							0							0					21.44	11.21	4	32.75	8.90	32.16	9.86	0.35	0.15	4	0.49	0.16	0.48	0.18
0.00	7	North Sea			0							0							0							0					16.21	0.33	7	16.70	15.82	16.61	15.84	31.44	0.89	7	32.84	30.14	32.68	30.41	6.07	0.17	7	6.36	5.83	6.31	5.86	0.05	0.03	7	0.09	0.02	0.08	0.02	0.04	0.01	7	0.06	0.03	0.05	0.03	0.10	0.00	7	0.10	0.10	0.10	0.10			0					0.37	0.07	7	0.43	0.23	0.43	0.26	0.27	0.14	7	0.50	0.10	0.47	0.13			0							0							0							0							0					14.07	4.21	7	22.68	11.27	20.85	11.33	0.41	0.05	7	0.52	0.35	0.49	0.36
0.00	8	North Sea			0					16.50	0.23	3	16.76	16.34	16.72	16.35	33.78	1.74	3	34.79	31.77	34.79	32.07	5.57	0.15	3	5.70	5.41	5.69	5.43			0							0					5.69		1	5.69	5.69			0.04		1	0.04	0.04			0.02		1	0.02	0.02			0.10		1	0.10	0.10			0.10		1	0.10	0.10			0.20		1	0.20	0.20			0.20		1	0.20	0.20			0.50		1	0.50	0.50					0							0							0							0					7.60		1	7.60	7.60			0.43		1	0.43	0.43		
0.00	9	North Sea			0					16.46		1	16.46	16.46	16.46	16.46	33.03		1	33.03	33.03	33.03	33.03			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
0.00	10	North Sea			0							0							0							0					12.04	0.47	4	12.73	11.70			34.19	0.53	7	34.88	33.55	34.80	33.60	5.89	0.06	7	5.97	5.79	5.96	5.80	0.35	0.04	7	0.42	0.30	0.41	0.31	0.11	0.09	7	0.29	0.03	0.25	0.04	0.58	0.61	7	1.83	0.10	1.49	0.10			0					0.28	0.18	7	0.45	0.02	0.45	0.05	2.53	1.03	7	4.00	1.25	3.91	1.39			0							0							0							0							0					14.72	5.39	7	26.50	10.50	22.93	10.83			0				
5.00	1	North Sea			0					6.81	0.39	5	7.34	6.46	7.30	6.47	34.93	0.05	5	34.99	34.86	34.99	34.87	6.40	0.00	5	6.40	6.40	6.40	6.40			0							0					6.78	0.04	3	6.83	6.75			0.51	0.04	3	0.56	0.47			0.08	0.06	3	0.14	0.04			4.36	2.10	3	6.77	2.93			4.44	2.08	3	6.82	2.97			0.21	0.02	3	0.23	0.20			2.57	0.38	3	3.00	2.30			0.47	0.12	3	0.60	0.40					0							0							0							0					13.77	0.67	3	14.20	13.00			0.74	0.06	3	0.79	0.67		
5.00	2	North Sea	2.00		1	2.00	2.00			6.45	0.31	8	6.75	5.96			34.97	0.15	8	35.14	34.78					0					6.01	0.65	8	6.70	4.63			34.66	0.77	6	35.08	33.10			6.98	0.12	8	7.26	6.85			0.61	0.10	8	0.82	0.52			0.08	0.06	8	0.21	0.03			7.74	4.89	8	18.79	3.83			6.95	2.15	5	8.73	3.86			0.46	0.48	5	1.30	0.14			4.71	2.96	8	12.00	3.20					0							0							0							0							0					16.07	6.13	7	29.40	10.50			0.80	0.04	4	0.84	0.75		
5.00	3	North Sea			0					4.76	0.54	3	5.36	4.31			32.67	0.82	2	33.26	32.09					0					1.88	0.71	5	2.98	1.11			32.83	2.08	12	35.22	27.98			7.49	0.26	12	7.85	7.00			0.78	0.23	12	1.41	0.58			0.81	0.51	12	1.65	0.09			21.90	18.69	12	70.48	5.72			32.56	19.83	7	72.13	10.06			1.53	1.15	12	3.37	0.15			10.67	7.74	12	29.40	3.10			1.20	0.71	2	1.70	0.70					0							0							0							0					35.03	22.82	12	88.80	11.30			1.26	0.14	12	1.45	1.02		
