depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	The Quark																																																																																																																																												
0.00	2	The Quark																																																																																																																																												
0.00	3	The Quark																																																																																																																																												
0.00	5	The Quark																																																																																																																																												
0.00	6	The Quark																																																																																																																																												
0.00	8	The Quark																																																																																																																																												
0.00	9	The Quark																																																																																																																																												
0.00	10	The Quark																																																																																																																																												
0.00	11	The Quark																																																																																																																																												
0.00	12	The Quark								3.48	1.39	33.00	6.20	0.81			4.48	0.84	31.00	5.52	3.12										3.53	1.42	34.00	6.17	0.84			4.55	0.84	34.00	5.54	3.04			8.72	0.43	38.00	9.77	8.02			0.21	0.10	37.00	0.48	0.05			0.09	0.05	39.00	0.24	0.03	0.16	0.04	4.09	1.49	39.00	7.92	1.97	6.73	2.09	4.18	1.51	39.00	8.01	2.01	6.80	2.12	0.27	0.18	34.00	0.85	0.05			22.47	7.42	39.00	35.20	10.60	34.51	12.16																																				19.55	2.12	39.00	24.50	16.20	23.33	16.68	0.41	0.16	38.00	0.79	0.12		
5.00	2	The Quark																																																																																																																																												
5.00	3	The Quark																																																																																																																																												
5.00	4	The Quark																																																																																																																																												
5.00	5	The Quark																																																																																																																																												
5.00	6	The Quark																																																																																																																																												
5.00	8	The Quark																																																																																																																																												
5.00	9	The Quark																																																																																																																																												
5.00	10	The Quark																																																																																																																																												
5.00	11	The Quark																																																																																																																																												
5.00	12	The Quark								3.66	1.45	36.00	6.24	0.80			4.58	0.84	34.00	5.52	3.14										3.58	1.42	34.00	6.19	0.81			4.60	0.83	35.00	5.54	3.04			8.69	0.43	37.00	9.79	8.05			0.20	0.10	37.00	0.48	0.05			0.09	0.05	39.00	0.24	0.03	0.16	0.04	4.02	1.40	39.00	6.98	1.99	6.58	2.09	4.11	1.41	39.00	7.05	2.03	6.65	2.14	0.25	0.16	35.00	0.65	0.05			22.22	7.36	39.00	35.30	10.50	34.52	12.16																																				19.73	2.15	38.00	25.30	16.70			0.41	0.16	39.00	0.73	0.15	0.71	0.16
10.00	1	The Quark																																																																																																																																												
10.00	2	The Quark																																																																																																																																												
10.00	3	The Quark																																																																																																																																												
10.00	5	The Quark																																																																																																																																												
10.00	6	The Quark																																																																																																																																												
10.00	8	The Quark																																																																																																																																												
10.00	9	The Quark																																																																																																																																												
10.00	10	The Quark																																																																																																																																												
10.00	11	The Quark																																																																																																																																												
