depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	1	The Sound								2.91	1.64	89.00	6.87	-0.39			12.23	4.15	88.00	25.21	7.32			8.26	0.67	35.00	9.64	6.73			2.85	1.47	75.00	6.88	-0.23			12.70	4.87	75.00	26.18	7.31			8.36	0.69	83.00	9.59	4.50			0.63	0.12	87.00	0.82	0.32			0.51	0.22	82.00	1.06	0.18			5.06	1.86	82.00	12.05	2.71			5.65	2.25	82.00	17.80	2.93			0.57	0.43	87.00	3.47	0.18			11.85	2.51	87.00	17.90	6.80			0.70	0.27	42.00	1.40	0.25																																						22.43	2.69	80.00	35.00	12.80			0.95	0.20	80.00	1.38	0.53			8.36	0.68	86.00	9.59	4.50			96.27	5.93	86.00	100.99	48.44			6.27	2.25	87.00	14.81	3.15			12.47	4.50	104.00	26.18	7.32	22.09	8.15	2.85	1.58	104.00	6.87	-0.39	5.14	0.13
0.00	0_2.5	2	The Sound	8.44	2.01	23.00	12.00	4.00			2.26	1.14	38.00	5.06	-0.34			10.92	3.08	35.00	18.92	7.75			8.64	0.48	17.00	9.34	7.25			2.13	1.11	43.00	4.00	-0.32			10.68	2.63	41.00	20.26	7.10			8.78	0.46	43.00	9.58	7.60			0.61	0.17	45.00	0.95	0.06			0.41	0.20	40.00	0.96	0.02			5.52	2.04	40.00	10.00	0.10			6.35	2.06	40.00	12.10	2.98			0.69	0.39	43.00	1.60	0.20			12.02	3.06	46.00	17.30	0.20			1.01	1.09	32.00	4.99	0.17																																						23.29	2.89	42.00	29.45	12.80			0.96	0.18	42.00	1.25	0.54			8.74	0.50	47.00	9.58	7.25			97.42	4.18	45.00	106.22	85.24			6.60	2.20	43.00	11.74	0.38			10.87	2.99	56.00	20.26	7.10			2.17	1.10	57.00	5.06	-0.34		
0.00	0_2.5	3	The Sound	7.74	2.24	23.00	12.00	3.50			3.53	1.32	31.00	5.27	-0.18			11.24	3.32	30.00	21.78	7.49										3.11	1.45	39.00	5.00	-0.21			11.74	3.78	38.00	21.72	7.62			8.65	0.64	43.00	9.97	7.20			0.40	0.35	44.00	2.10	0.02			0.17	0.12	37.00	0.43	0.01			2.10	1.62	34.00	7.06	0.10			3.57	2.94	40.00	12.10	0.10			0.85	2.06	42.00	13.60	0.05			8.57	4.03	44.00	21.50	1.60			3.88	3.57	34.00	13.20	0.50																																						22.27	4.49	41.00	37.10	9.30			0.88	0.40	41.00	3.00	0.35			8.65	0.64	43.00	9.97	7.20			99.65	6.67	42.00	110.30	80.76			4.04	4.08	42.00	23.60	0.10			11.48	3.58	47.00	21.78	7.49			3.21	1.41	48.00	5.27	-0.18		
0.00	0_2.5	4	The Sound	9.50	1.92	25.00	13.00	5.00			6.19	1.36	30.00	8.46	2.78			10.36	3.13	28.00	18.68	7.53										5.76	1.48	38.00	9.98	2.76			10.13	2.88	37.00	17.49	7.54			8.36	0.55	42.00	9.37	6.60			0.19	0.11	43.00	0.55	0.03			0.04	0.02	35.00	0.09	0.02			0.40	0.42	26.00	1.77	0.10			0.38	0.42	41.00	1.84	0.08			0.37	0.27	42.00	1.21	0.07			4.18	2.76	43.00	10.60	0.20			1.26	0.76	35.00	4.16	0.20																																						18.50	2.01	41.00	22.75	15.00			0.61	0.23	41.00	1.20	0.10			8.36	0.55	42.00	9.37	6.60			103.47	4.10	35.00	110.42	93.63			0.72	0.64	42.00	2.70	0.10			10.30	3.04	43.00	18.68	7.53			5.96	1.41	47.00	9.98	2.78		
0.00	0_2.5	5	The Sound	8.64	1.88	27.00	12.00	6.00			11.01	1.84	31.00	15.28	8.17			10.64	3.17	27.00	18.20	7.42										10.49	2.02	36.00	15.30	5.30			10.37	2.82	34.00	19.07	7.10			7.51	0.60	37.00	9.00	6.00			0.16	0.09	40.00	0.49	0.04			0.10	0.35	33.00	2.04	0.02			0.25	0.28	20.00	1.02	0.05			0.40	0.85	34.00	4.90	0.10			0.36	0.28	39.00	1.20	0.05			5.28	2.92	40.00	11.90	1.10			1.14	0.53	29.00	2.40	0.29																																						18.05	2.54	39.00	24.30	12.70			0.57	0.18	39.00	1.04	0.30			7.51	0.60	37.00	9.00	6.00			101.22	6.73	35.00	112.10	84.64			0.71	1.00	39.00	6.10	0.10			10.60	3.09	43.00	19.07	7.10			10.44	1.94	45.00	15.28	5.30	14.54	8.03
0.00	0_2.5	6	The Sound	7.42	1.26	31.00	10.00	5.00			14.52	1.52	33.00	17.35	10.54			9.88	2.53	30.00	18.64	7.66										14.82	1.02	33.00	16.83	13.50			9.65	2.29	37.00	15.23	7.10			7.03	0.57	40.00	8.50	5.30			0.18	0.11	44.00	0.50	0.02			0.03	0.02	38.00	0.09	0.02			0.12	0.09	18.00	0.43	0.06			0.14	0.07	37.00	0.40	0.10			0.27	0.24	42.00	1.09	0.05			6.61	2.77	44.00	14.90	2.20			1.36	0.78	34.00	4.60	0.40																																						18.09	2.08	41.00	21.60	13.50			0.55	0.19	41.00	1.01	0.30			7.03	0.57	40.00	8.50	5.30			105.17	5.51	38.00	122.67	90.38			0.37	0.30	42.00	1.19	0.10			9.80	2.54	45.00	18.64	7.10			14.53	1.38	45.00	17.35	10.54		
0.00	0_2.5	7	The Sound	7.30	1.21	35.00	10.00	4.50			17.56	1.73	30.00	20.77	14.39			10.09	2.63	30.00	18.00	7.76										17.16	1.76	35.00	20.77	13.90			10.05	2.72	39.00	18.01	7.40			6.48	0.44	40.00	7.50	5.40			0.21	0.15	41.00	0.70	0.06			0.04	0.03	33.00	0.12	0.02			0.13	0.12	16.00	0.57	0.04			0.17	0.12	39.00	0.67	0.10			0.36	0.52	41.00	3.10	0.05			6.51	2.61	41.00	10.70	0.20			1.53	0.83	33.00	5.10	0.50																																						19.31	3.08	40.00	25.70	6.40			0.71	0.30	40.00	1.80	0.30			6.48	0.44	40.00	7.50	5.40			100.79	6.82	39.00	110.88	79.05			0.49	0.57	41.00	3.30	0.10			9.88	2.53	45.00	18.00	7.40	15.80	7.63	17.16	1.79	45.00	20.77	13.90	19.63	14.41
0.00	0_2.5	8	The Sound	6.80	1.33	34.00	10.00	3.00			18.32	1.89	38.00	21.82	14.78			11.91	3.55	36.00	20.39	7.93										18.10	1.68	39.00	22.22	15.32			11.58	3.33	40.00	20.42	7.40			6.14	0.44	38.00	6.91	4.60			0.19	0.08	42.00	0.40	0.05			0.04	0.03	35.00	0.14	0.02			0.20	0.19	19.00	0.69	0.06			0.15	0.08	38.00	0.45	0.10			0.42	0.43	42.00	1.90	0.05			7.29	3.12	42.00	13.30	1.70			2.58	2.16	32.00	13.10	0.30																																						20.00	3.66	41.00	29.20	12.10			0.64	0.17	41.00	1.04	0.30			6.12	0.41	42.00	6.91	4.60			98.34	6.27	41.00	112.08	76.75			0.56	0.52	42.00	2.30	0.10			11.53	3.32	51.00	20.39	7.40			18.28	1.85	51.00	22.00	14.78		
0.00	0_2.5	9	The Sound	6.88	1.33	30.00	10.00	5.00			15.60	1.31	54.00	18.70	13.19			12.19	4.53	51.00	25.06	7.52			6.35	0.28	20.00	6.79	5.66			15.20	1.23	40.00	18.65	11.77			11.26	3.69	43.00	20.69	7.10			6.37	0.32	44.00	7.06	5.70			0.26	0.13	46.00	0.60	0.07			0.05	0.03	38.00	0.12	0.02			0.43	0.58	28.00	2.50	0.10			0.35	0.54	40.00	2.59	0.10			0.40	0.34	44.00	1.45	0.07			8.78	2.98	46.00	13.90	1.10			1.89	0.80	34.00	4.40	0.40																																						19.48	3.32	43.00	28.00	10.00			0.71	0.21	43.00	1.24	0.36			6.39	0.32	51.00	7.06	5.70			96.72	3.92	51.00	101.97	84.86			0.73	0.73	44.00	3.80	0.10			11.55	4.11	71.00	25.06	7.10			15.47	1.30	73.00	18.70	11.77	17.48	13.39
0.00	0_2.5	10	The Sound	6.88	1.11	22.00	9.00	4.50			11.76	1.30	29.00	13.72	8.65			13.52	3.94	28.00	20.74	7.94										11.54	1.52	35.00	14.00	7.70			12.90	4.32	37.00	21.65	7.70			6.80	0.69	39.00	9.00	5.30			0.35	0.13	39.00	0.64	0.15			0.09	0.05	33.00	0.23	0.02			0.74	0.93	30.00	4.51	0.07			0.91	0.95	37.00	4.61	0.10			0.68	0.41	39.00	1.47	0.10			9.71	2.94	40.00	15.40	3.30			2.56	1.62	33.00	7.60	0.20																																						19.84	2.88	38.00	27.70	10.70			0.80	0.21	38.00	1.14	0.45			6.80	0.69	39.00	9.00	5.30			96.30	10.20	39.00	134.23	76.64			1.53	1.23	38.00	5.43	0.10			13.07	4.32	43.00	21.65	7.70			11.68	1.47	43.00	14.00	7.70		
