depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	10	Åland Sea								11.75	1.64	16.00	14.46	9.32			5.43	0.15	16.00	5.71	5.20																																																																																																																																																						5.43	0.15	16.00	5.71	5.20			11.75	1.64	16.00	14.46	9.32		
0.00	0_2.5	11	Åland Sea																																																																																																																																																																									5.86	0.32	16.00	6.36	5.20	6.27	5.29	5.88	1.16	16.00	7.48	3.40	7.43	4.08
0.00	0_2.5	12	Åland Sea								5.26	0.90	31.00	7.10	2.79			5.79	0.35	29.00	6.66	5.19										5.11	0.80	29.00	6.41	2.75			5.79	0.35	29.00	6.67	5.20			8.23	0.26	34.00	8.96	7.72	8.63	7.80	0.37	0.11	34.00	0.58	0.20	0.53	0.22	0.05	0.02	34.00	0.10	0.02	0.10	0.03	2.70	0.44	34.00	3.38	1.72	3.29	1.93	2.75	0.43	34.00	3.38	1.82	3.34	1.99	0.16	0.08	32.00	0.41	0.05			15.50	3.60	34.00	23.40	8.90	21.70	10.37																																											19.64	2.35	32.00	25.10	15.70			0.61	0.16	32.00	0.91	0.35			8.23	0.26	34.00	8.96	7.72	8.63	7.80	95.58	1.43	34.00	99.18	92.74	97.53	93.21	2.85	0.44	32.00	3.61	1.91			5.79	0.33	34.00	6.66	5.19	6.21	5.31	5.21	0.90	34.00	7.10	2.79	6.61	3.75
5.00	2.5_7.5	10	Åland Sea								11.83	1.57	16.00	14.43	9.30	14.39	9.73	5.47	0.18	16.00	5.79	5.20	5.74	5.24	7.00	0.21	16.00	7.40	6.70	7.36	6.74																																																																																																																								7.11	0.20	16.00	7.42	6.75	7.41	6.88	96.00	3.15	16.00	100.90	90.68	100.75	91.37								5.47	0.18	16.00	5.79	5.20	5.74	5.24	11.83	1.57	16.00	14.43	9.30	14.39	9.73
5.00	2.5_7.5	11	Åland Sea																																																																																																																																																																									5.86	0.32	16.00	6.38	5.20			5.88	1.16	16.00	7.49	3.40		
5.00	2.5_7.5	12	Åland Sea								5.27	0.89	32.00	7.09	2.74			5.79	0.34	30.00	6.66	5.20										5.11	0.78	28.00	6.43	3.04			5.78	0.35	30.00	6.67	5.20			8.23	0.26	34.00	8.88	7.78	8.65	7.80	0.37	0.11	34.00	0.58	0.18	0.53	0.21	0.05	0.02	34.00	0.10	0.02	0.09	0.02	2.72	0.49	33.00	3.48	1.74			2.78	0.47	34.00	3.53	1.84	3.39	1.98	0.17	0.09	32.00	0.49	0.05			15.53	3.57	34.00	23.40	9.00	21.64	10.37																																											19.71	1.96	34.00	23.60	15.10	22.64	16.43	0.62	0.16	34.00	0.92	0.37	0.84	0.39	8.23	0.26	34.00	8.88	7.78	8.65	7.80	95.56	1.37	34.00	99.14	92.81	97.54	93.61	2.89	0.49	32.00	3.79	1.96			5.79	0.33	34.00	6.66	5.20	6.21	5.30	5.22	0.90	34.00	7.09	2.74	6.60	3.76
10.00	7.5_12.5	10	Åland Sea								11.80	1.54	16.00	14.37	9.30	14.33	9.71	5.48	0.18	16.00	5.79	5.21	5.74	5.24	6.96	0.23	16.00	7.36	6.64	7.34	6.65																																																																																																																								7.04	0.23	16.00	7.40	6.64	7.37	6.73	94.95	2.79	16.00	100.92	90.68	99.16	91.17								5.48	0.18	16.00	5.79	5.21	5.74	5.24	11.80	1.54	16.00	14.37	9.30	14.33	9.71
10.00	7.5_12.5	11	Åland Sea																																																																																																																																																																									5.87	0.32	16.00	6.38	5.20	6.27	5.30	5.90	1.15	16.00	7.49	3.44	7.39	4.08
10.00	7.5_12.5	12	Åland Sea								5.33	0.88	32.00	7.12	2.89			5.82	0.35	30.00	6.66	5.21										5.16	0.75	28.00	6.43	3.38			5.80	0.35	30.00	6.67	5.20			8.21	0.25	33.00	8.77	7.76			0.38	0.11	34.00	0.59	0.16	0.53	0.22	0.05	0.02	34.00	0.11	0.02	0.09	0.03	2.74	0.50	34.00	3.77	1.65	3.40	1.90	2.79	0.49	34.00	3.83	1.76	3.42	1.96	0.17	0.09	32.00	0.54	0.05			15.46	3.55	34.00	24.10	9.00	21.30	10.27																																											19.48	2.15	34.00	25.50	15.60	23.23	16.75	0.63	0.17	34.00	0.92	0.35	0.87	0.37	8.20	0.26	34.00	8.77	7.76	8.62	7.79	95.37	1.54	34.00	99.13	91.88	97.43	92.85	2.91	0.53	32.00	4.08	1.76			5.82	0.34	34.00	6.66	5.21	6.22	5.32	5.27	0.89	34.00	7.12	2.89	6.60	3.75
15.00	12.5_17.5	10	Åland Sea								11.51	1.31	16.00	14.35	9.36	13.37	9.71	5.54	0.18	16.00	5.79	5.26	5.79	5.31	6.89	0.30	16.00	7.34	6.28	7.31	6.36																																																																																																																								6.95	0.30	16.00	7.34	6.28	7.33	6.36	93.28	4.03	16.00	100.03	83.35	97.91	87.19								5.54	0.18	16.00	5.79	5.26	5.79	5.31	11.51	1.31	16.00	14.35	9.36	13.37	9.71
